time,open,high,low,close,volume,market_cap,Dividends,Stock Splits,roc_1d
2022-05-16,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,9349776,549652729.8929389,,,0.0
2022-05-17,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,8677031,549652729.8929389,,,0.0
2022-05-18,,,,0.0,10254487,0.0,,,-100.0
2022-05-19,,,,0.0,12107101,0.0,,,
2022-05-20,,,,0.0,9332111,0.0,,,
2022-05-21,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,15084651,549652729.8929389,,,inf
2022-05-22,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,10716181,549652729.8929389,,,0.0
2022-05-23,,,,0.0,10109365,0.0,,,-100.0
2022-05-24,,,,0.0,13402747,0.0,,,
2022-05-25,,,,0.0,11694101,0.0,,,
2022-05-26,,,,0.0,18011574,0.0,,,
2022-05-27,,,,0.0,14222758,0.0,,,
2022-05-28,,,,0.0,13301200,0.0,,,
2022-05-29,,,,0.0,9349761,0.0,,,
2022-05-30,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,17844805,549652729.8929389,,,inf
2022-05-31,,,,0.0,14617574,0.0,,,-100.0
2022-06-01,,,,0.0,12959982,0.0,,,
2022-06-02,,,,0.0,9027192,0.0,,,
2022-06-03,,,,0.0,9104422,0.0,,,
2022-06-04,,,,0.0,7253916,0.0,,,
2022-06-05,,,,0.0,10372471,0.0,,,
2022-06-06,,,,0.0,12927230,0.0,,,
2022-06-07,,,,0.0,11049234,0.0,,,
2022-06-08,,,,0.0,7255335,0.0,,,
2022-06-09,,,,0.0,7944142,0.0,,,
2022-06-10,,,,0.0,8867589,0.0,,,
2022-06-11,,,,0.0,13172064,0.0,,,
2022-06-12,,,,0.0,11001425,0.0,,,
2022-06-13,,,,0.0,16111171,0.0,,,
2022-06-14,,,,0.0,9969530,0.0,,,
2022-06-15,,,,0.0,11141869,0.0,,,
2022-06-16,,,,0.0,8765746,0.0,,,
2022-06-17,,,,0.0,6667272,0.0,,,
2022-06-18,,,,0.0,10745004,0.0,,,
2022-06-19,,,,0.0,10747685,0.0,,,
2022-06-20,,,,0.0,8274437,0.0,,,
2022-06-21,,,,0.0,7418506,0.0,,,
2022-06-22,,,,0.0,3029535,0.0,,,
2022-06-23,,,,0.0,2244057,0.0,,,
2022-06-24,,,,0.0,8814082,0.0,,,
2022-06-25,,,,0.0,28907412,0.0,,,
2022-06-26,,,,0.0,10298212,0.0,,,
2022-06-27,,,,0.0,7829257,0.0,,,
2022-06-28,,,,0.0,6206076,0.0,,,
2022-06-29,,,,0.0,5733006,0.0,,,
2022-06-30,,,,0.0,6371448,0.0,,,
2022-07-01,,,,0.0,8038962,0.0,,,
2022-07-02,,,,0.0,3231639,0.0,,,
2022-07-03,,,,0.0,2595631,0.0,,,
2022-07-04,,,,0.0,3174700,0.0,,,
2022-07-05,,,,0.0,4532514,0.0,,,
2022-07-06,,,,0.0,3366427,0.0,,,
2022-07-07,,,,0.0,3967749,0.0,,,
2022-07-08,,,,0.0,3196379,0.0,,,
2022-07-09,,,,0.0,1619751,0.0,,,
2022-07-10,,,,0.0,1491841,0.0,,,
2022-07-11,,,,0.0,5041303,0.0,,,
2022-07-12,,,,0.0,1590840,0.0,,,
2022-07-13,,,,0.0,2442358,0.0,,,
2022-07-14,,,,0.0,2090234,0.0,,,
2022-07-15,,,,0.0,2035196,0.0,,,
2022-07-16,,,,0.0,2415991,0.0,,,
2022-07-17,,,,0.0,1646885,0.0,,,
2022-07-18,,,,0.0,3325030,0.0,,,
2022-07-19,,,,0.0,3735097,0.0,,,
2022-07-20,,,,0.0,8567318,0.0,,,
2022-07-21,,,,0.0,3622683,0.0,,,
2022-07-22,,,,0.0,2851680,0.0,,,
2022-07-23,,,,0.0,2344410,0.0,,,
2022-07-24,,,,0.0,2195323,0.0,,,
2022-07-25,,,,0.0,2261225,0.0,,,
2022-07-26,,,,0.0,2147337,0.0,,,
2022-07-27,,,,0.0,2618552,0.0,,,
2022-07-28,,,,0.0,3261795,0.0,,,
2022-07-29,,,,0.0,2746915,0.0,,,
2022-07-30,,,,0.0,3828350,0.0,,,
2022-07-31,,,,0.0,1688389,0.0,,,
2022-08-01,,,,0.0,2916941,0.0,,,
2022-08-02,,,,0.0,3332125,0.0,,,
2022-08-03,,,,0.0,4217034,0.0,,,
2022-08-04,,,,0.0,2230129,0.0,,,
2022-08-05,,,,0.0,2892750,0.0,,,
2022-08-06,,,,0.0,3673455,0.0,,,
2022-08-07,,,,0.0,2111489,0.0,,,
2022-08-08,,,,0.0,2999522,0.0,,,
2022-08-09,,,,0.0,3917859,0.0,,,
2022-08-10,,,,0.0,4124502,0.0,,,
2022-08-11,,,,0.0,3096997,0.0,,,
2022-08-12,,,,0.0,2855110,0.0,,,
2022-08-13,,,,0.0,2756711,0.0,,,
2022-08-14,,,,0.0,12952182,0.0,,,
2022-08-15,,,,0.0,10641319,0.0,,,
2022-08-16,,,,0.0,5359302,0.0,,,
2022-08-17,,,,0.0,5175715,0.0,,,
2022-08-18,,,,0.0,3943800,0.0,,,
2022-08-19,,,,0.0,5658836,0.0,,,
2022-08-20,,,,0.0,3703798,0.0,,,
2022-08-21,,,,0.0,2846148,0.0,,,
2022-08-22,,,,0.0,2518014,0.0,,,
2022-08-23,,,,0.0,2252209,0.0,,,
2022-08-24,,,,0.0,2208658,0.0,,,
2022-08-25,,,,0.0,2845283,0.0,,,
2022-08-26,,,,0.0,3927483,0.0,,,
2022-08-27,,,,0.0,3031428,0.0,,,
2022-08-28,,,,0.0,2887401,0.0,,,
2022-08-29,,,,0.0,3490955,0.0,,,
2022-08-30,,,,0.0,2791453,0.0,,,
2022-08-31,,,,0.0,2168396,0.0,,,
2022-09-01,,,,0.0,2236187,0.0,,,
2022-09-02,,,,0.0,2833471,0.0,,,
2022-09-03,,,,0.0,3404653,0.0,,,
2022-09-04,,,,0.0,2088019,0.0,,,
2022-09-05,,,,0.0,2777639,0.0,,,
2022-09-06,,,,0.0,3399201,0.0,,,
2022-09-07,,,,0.0,2852887,0.0,,,
2022-09-08,,,,0.0,2709012,0.0,,,
2022-09-09,,,,0.0,3538952,0.0,,,
2022-09-10,,,,0.0,3081774,0.0,,,
2022-09-11,,,,0.0,3902122,0.0,,,
2022-09-12,,,,0.0,3287461,0.0,,,
2022-09-13,,,,0.0,2933470,0.0,,,
2022-09-14,,,,0.0,4291607,0.0,,,
2022-09-15,,,,0.0,2360955,0.0,,,
2022-09-16,,,,0.0,3004978,0.0,,,
2022-09-17,,,,0.0,2195569,0.0,,,
2022-09-18,,,,0.0,2162709,0.0,,,
2022-09-19,,,,0.0,3652695,0.0,,,
2022-09-20,,,,0.0,2446108,0.0,,,
2022-09-21,,,,0.0,2363554,0.0,,,
2022-09-22,,,,0.0,2178551,0.0,,,
2022-09-23,,,,0.0,3052317,0.0,,,
2022-09-24,,,,0.0,2820476,0.0,,,
2022-09-25,,,,0.0,2310684,0.0,,,
2022-09-26,,,,0.0,3142399,0.0,,,
2022-09-27,,,,0.0,2326609,0.0,,,
2022-09-28,,,,0.0,2517660,0.0,,,
2022-09-29,,,,0.0,1844423,0.0,,,
2022-09-30,,,,0.0,2004096,0.0,,,
2022-10-01,,,,0.0,1666602,0.0,,,
2022-10-02,,,,0.0,2052612,0.0,,,
2022-10-03,,,,0.0,2153015,0.0,,,
2022-10-04,,,,0.0,2007907,0.0,,,
2022-10-05,,,,0.0,1739340,0.0,,,
2022-10-06,,,,0.0,1498857,0.0,,,
2022-10-07,,,,0.0,1354103,0.0,,,
2022-10-08,,,,0.0,1631155,0.0,,,
2022-10-09,,,,0.0,1471810,0.0,,,
2022-10-10,,,,0.0,1460348,0.0,,,
2022-10-11,,,,0.0,1575701,0.0,,,
2022-10-12,,,,0.0,1999087,0.0,,,
2022-10-13,,,,0.0,2274668,0.0,,,
2022-10-14,,,,0.0,1748714,0.0,,,
2022-10-15,,,,0.0,3469745,0.0,,,
2022-10-16,,,,0.0,1835430,0.0,,,
2022-10-17,,,,0.0,1874015,0.0,,,
2022-10-18,,,,0.0,1453094,0.0,,,
2022-10-19,,,,0.0,990929,0.0,,,
2022-10-20,,,,0.0,1158729,0.0,,,
2022-10-21,,,,0.0,1004318,0.0,,,
2022-10-22,,,,0.0,857650,0.0,,,
2022-10-23,,,,0.0,1084230,0.0,,,
2022-10-24,,,,0.0,1142191,0.0,,,
2022-10-25,,,,0.0,1548593,0.0,,,
2022-10-26,,,,0.0,2253110,0.0,,,
2022-10-27,,,,0.0,2763636,0.0,,,
2022-10-28,,,,0.0,2423487,0.0,,,
2022-10-29,,,,0.0,68379877,0.0,,,
2022-10-30,,,,0.0,27322334,0.0,,,
2022-10-31,,,,0.0,12949525,0.0,,,
2022-11-01,,,,0.0,16581124,0.0,,,
2022-11-02,,,,0.0,29359781,0.0,,,
2022-11-03,,,,0.0,9949442,0.0,,,
2022-11-04,,,,0.0,7440700,0.0,,,
2022-11-05,,,,0.0,6794752,0.0,,,
2022-11-06,,,,0.0,4614845,0.0,,,
2022-11-07,,,,0.0,2873120,0.0,,,
2022-11-08,,,,0.0,8226691,0.0,,,
2022-11-09,,,,0.0,9829051,0.0,,,
2022-11-10,,,,0.0,10863549,0.0,,,
2022-11-11,,,,0.0,8191631,0.0,,,
2022-11-12,,,,0.0,4990855,0.0,,,
2022-11-13,,,,0.0,4368739,0.0,,,
2022-11-14,,,,0.0,5003980,0.0,,,
2022-11-15,,,,0.0,2938049,0.0,,,
2022-11-16,,,,0.0,2991242,0.0,,,
2022-11-17,,,,0.0,3427247,0.0,,,
2022-11-18,,,,0.0,2567347,0.0,,,
2022-11-19,,,,0.0,1861494,0.0,,,
2022-11-20,,,,0.0,2704696,0.0,,,
2022-11-21,,,,0.0,3860724,0.0,,,
2022-11-22,,,,0.0,2227882,0.0,,,
2022-11-23,,,,0.0,1889948,0.0,,,
2022-11-24,,,,0.0,3249327,0.0,,,
2022-11-25,,,,0.0,4231834,0.0,,,
2022-11-26,,,,0.0,4323286,0.0,,,
2022-11-27,,,,0.0,9430383,0.0,,,
2022-11-28,,,,0.0,2685922,0.0,,,
2022-11-29,,,,0.0,2784853,0.0,,,
2022-11-30,,,,0.0,4672039,0.0,,,
2022-12-01,,,,0.0,2995594,0.0,,,
2022-12-02,,,,0.0,3192709,0.0,,,
2022-12-03,,,,0.0,3734689,0.0,,,
2022-12-04,,,,0.0,2640406,0.0,,,
2022-12-05,,,,0.0,14861713,0.0,,,
2022-12-06,,,,0.0,5609838,0.0,,,
2022-12-07,,,,0.0,4061950,0.0,,,
2022-12-08,,,,0.0,5045494,0.0,,,
2022-12-09,,,,0.0,4106132,0.0,,,
2022-12-10,,,,0.0,2063773,0.0,,,
2022-12-11,,,,0.0,2734680,0.0,,,
2022-12-12,,,,0.0,3062371,0.0,,,
2022-12-13,,,,0.0,3973124,0.0,,,
2022-12-14,,,,0.0,3218051,0.0,,,
2022-12-15,,,,0.0,6130441,0.0,,,
2022-12-16,,,,0.0,3229180,0.0,,,
2022-12-17,,,,0.0,2070117,0.0,,,
2022-12-18,,,,0.0,1460600,0.0,,,
2022-12-19,,,,0.0,2139234,0.0,,,
2022-12-20,,,,0.0,2378216,0.0,,,
2022-12-21,,,,0.0,1954308,0.0,,,
2022-12-22,,,,0.0,1858772,0.0,,,
2022-12-23,,,,0.0,2142123,0.0,,,
2022-12-24,,,,0.0,3592204,0.0,,,
2022-12-25,,,,0.0,3811992,0.0,,,
2022-12-26,,,,0.0,3022131,0.0,,,
2022-12-27,,,,0.0,2845253,0.0,,,
2022-12-28,,,,0.0,2198304,0.0,,,
2022-12-29,,,,0.0,1780227,0.0,,,
2022-12-30,,,,0.0,1609184,0.0,,,
2022-12-31,,,,0.0,1969114,0.0,,,
2023-01-01,,,,0.0,1781833,0.0,,,
2023-01-02,,,,0.0,1660269,0.0,,,
2023-01-03,,,,0.0,1706821,0.0,,,
2023-01-04,,,,0.0,7427696,0.0,,,
2023-01-05,,,,0.0,1929104,0.0,,,
2023-01-06,,,,0.0,2060963,0.0,,,
2023-01-07,,,,0.0,1711566,0.0,,,
