asset,cci_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
avax,6,0.4002173776965552,0.7983405769421742,1.0331200313462003,1.2446814761216731,0.8143516547506281,0.7426673457440566,0.5,1.2446814761216731,0.7575618719675024,890
link,6,0.5416255520677327,0.9606892142365439,1.285258589572879,1.2681888535385233,0.8759593076870769,0.7558812253238013,0.49765258215962443,1.2681888535385233,0.6892147689557248,1491
ada,6,0.48045831425311425,0.8079846750966471,1.2981678552132052,1.3079970335526647,0.7956101960356555,0.8442818118282434,0.48540925266903917,1.3079970335526647,0.8313514334138323,1405
trx,6,0.7328067663780471,0.9650808251643349,1.6045739969888395,1.4655290640648637,1.546720195756047,0.5427548528911477,0.5176701570680629,1.4655290640648637,0.869864855276128,1528
sui,6,1.3076795200122757,0.6741333838955571,1.0003369025945232,1.1842369693461678,0.6986020142819818,0.6205237140211675,0.477326968973747,1.1842369693461678,0.6430465051588153,419
sol,6,1.069267457741791,1.3466889918882359,1.7003448926219018,1.4052198596156404,1.4749223998751173,0.6738195883406569,0.5150631681243926,1.4052198596156404,0.7379815312255447,1029
bnb,6,0.5958728927520325,1.0320923292737731,1.3638127605017598,1.352191611460756,0.8206882839185592,0.7879272900082611,0.5175879396984925,1.352191611460756,0.6265357053321846,1592
btc,6,0.5063418075596788,1.2357994509873012,1.4412942543888125,1.3724554007765213,0.819776861344141,0.5925932364018495,0.5239616613418531,1.3724554007765213,0.3931011807807209,2191
xrp,7,0.5046661613808381,0.8656874998820586,1.2257334399853292,1.3462435074439214,0.8980437672867081,0.7435373253031485,0.47674418604651164,1.3462435074439214,0.77132806102028,1376
eth,7,0.37333178228036523,0.8826470986068091,1.0234738693927077,1.2448731023957853,0.7290484527439751,0.6038423693256575,0.5026041666666666,1.2448731023957853,0.4987614480951634,1536
algo,7,0.4907733562943004,0.38323174834435414,0.4784902999376893,1.1084734299095758,0.30035513341938436,0.8494563567694189,0.49049429657794674,1.1084734299095758,0.6657553255273814,1052
vet,7,0.3025641825388454,0.7186418717328772,0.9070412661593298,1.2056177739731708,0.6738472293052957,0.7028193740997991,0.4937007874015748,1.2056177739731708,0.6590109852592455,1270
atom,7,0.44395123384625834,0.37817403755380335,0.4392422786924498,1.1021643575577498,0.2678716184962532,0.9195154365807654,0.4872013651877133,1.1021643575577498,0.6513194026285724,1172
pol,7,0.6651563564645773,0.6097257783555516,0.6560642475974389,1.1651041652521492,0.6097041426090554,0.49902996264770744,0.5129032258064516,1.1651041652521492,0.49901225487455897,310
tao,7,2.5857762691845276,0.828341609081968,1.040273366223639,1.226031340797829,0.9731312712649784,0.5830492804073505,0.4965986394557823,1.226031340797829,0.6849631616136657,441
ltc,7,0.23449701421125013,0.6321853824084441,0.7678713962823637,1.2028711532990146,0.47485504748373525,0.8301841129295768,0.4787180771156735,1.2028711532990146,0.6235783479579411,1997
xlm,7,0.5902069984909282,0.9726554890403926,1.3621018004462888,1.362145489238564,0.9082751682219953,0.7576607525707291,0.4984779299847793,1.362145489238564,0.7075109895028869,1314
avax,7,0.5258670500701723,0.9115583743843614,1.168734886937663,1.2839911028319577,0.9052246696711721,0.7652081607040182,0.5044742729306487,1.2839911028319577,0.7598913289242705,894
link,7,0.46781872439586114,0.8888862208291862,1.1904780546748135,1.245968236480066,0.8056959731524636,0.7621926819778047,0.49226630800269,1.245968236480066,0.6908595951267443,1487
ada,7,0.5159984121427854,0.8372596931731444,1.2964973270030498,1.3209477378097623,0.9159822925920946,0.7653260762622502,0.4921090387374462,1.3209477378097623,0.8372851812063011,1394
trx,7,0.5983666693681244,0.8725870574054899,1.4176274789090262,1.4094414110413298,1.2765758226350745,0.5956231887832284,0.5160026126714565,1.4094414110413298,0.8713837269856947,1531
sui,7,1.770234805511738,0.7556353075437352,1.1070579215092302,1.2107795561799242,0.7806299294599798,0.6183998565436069,0.48668280871670705,1.2107795561799242,0.638855055570252,413
sol,7,1.0308153173861343,1.3176825097484286,1.6416928305679945,1.394207575316981,1.3901492644132034,0.7044124352375208,0.5121006776379478,1.394207575316981,0.7431520274758057,1033
bnb,7,0.5880587032539726,1.0213011812339903,1.3339009039463623,1.3496520009755089,0.926322432015892,0.6962019580247492,0.5180722891566265,1.3496520009755089,0.6314567169622777,1577
btc,7,0.4842799720389295,1.202966826036047,1.3853615060815627,1.36288429272911,0.696132180087622,0.6754518850259379,0.523483812129503,1.36288429272911,0.3908701246706783,2193
xrp,8,0.4710692690510516,0.8488146107031653,1.159285974190054,1.3286821595646972,0.7757859394086317,0.8135056741171992,0.47318148420279205,1.3286821595646972,0.7435148448804972,1361
eth,8,0.447552328612153,0.9927572447234576,1.1541504115863268,1.2824220927408718,0.7772272223127791,0.6310032091744158,0.5023132848645075,1.2824220927408718,0.4940108713824553,1513
algo,8,1.4759393035513937,0.46646839132253143,0.5809243941464101,1.1321190074327008,0.3794385637312781,0.8148796831352223,0.4929444967074318,1.1321190074327008,0.6628461484946341,1063
vet,8,0.3860512987022595,0.8126488646860811,1.035689769836382,1.2346859453339132,0.7194732067430955,0.7446804173767272,0.49803613511390415,1.2346859453339132,0.659297799050992,1273
atom,8,0.9945968756987287,0.43040044717899506,0.5039841647517365,1.1166510588382699,0.31215402915536405,0.8998992719412323,0.49313893653516294,1.1166510588382699,0.6526647112278918,1166
pol,8,0.46448736180262373,0.5189368429381334,0.5650943921826802,1.1380131453293438,0.4924794670455612,0.5299108860459758,0.5047923322683706,1.1380131453293438,0.5028940116565893,313
tao,8,2.506293826251143,0.8229380288148473,1.0337865219997544,1.2206865545997874,0.9290798285610693,0.5996129827156914,0.49330357142857145,1.2206865545997874,0.6769505207904606,448
ltc,8,0.2589827791463992,0.6634785725395335,0.7951383811782338,1.2149500110441738,0.5515318231834502,0.754839690755863,0.4825174825174825,1.2149500110441738,0.6274778539724529,2002
xlm,8,0.5935935565736217,0.976869304614275,1.3696709867415662,1.3675932063226106,0.9092142416095153,0.7565624585264049,0.4988558352402746,1.3675932063226106,0.7041651925289327,1311
avax,8,0.542022542408579,0.9233094016261517,1.1889918267078197,1.2886501467257954,0.989349952762721,0.7162209728093162,0.5061867266591676,1.2886501467257954,0.7674493342844533,889
link,8,0.5725929655402731,0.9716575710087615,1.3469724087044213,1.2819360644297262,0.9817313075351959,0.7082356589729478,0.4942450914014895,1.2819360644297262,0.7155783480436583,1477
ada,8,0.6602901038690034,0.9457413644155563,1.488447356074953,1.3745471455419143,1.1014795413084362,0.7162078297111429,0.49818445896877267,1.3745471455419143,0.8341480043428712,1377
trx,8,0.501983742265131,0.8015967928275682,1.2871355779438634,1.3674734895246252,1.0609294534714027,0.6603110808134194,0.5116429495472187,1.3674734895246252,0.8739349762333521,1546
sui,8,1.4822661222893894,0.718199399893981,1.0024633309624371,1.1913259938556975,0.7468336919150468,0.5865124282260706,0.4927536231884058,1.1913259938556975,0.6098964190039644,414
