asset,trix_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
pepe,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,136,-0.15521898672886247,-6.110627867572278,-5.0,0.30866693212669694,-21.35194561211827,0.18796365528014208,0.3,0.30866693212669694,0.6567884400054361,10
shib,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,137,-0.15521898672886247,-6.110627867572278,-5.0,0.30866693212669694,-21.35194561211827,0.18796365528014208,0.3,0.30866693212669694,0.6567884400054361,10
shib,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,138,-0.15521898672886247,-6.110627867572278,-5.0,0.30866693212669694,-21.35194561211827,0.18796365528014208,0.3,0.30866693212669694,0.6567884400054361,10
shib,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,139,-0.15521898672886247,-6.110627867572278,-5.0,0.30866693212669694,-21.35194561211827,0.18796365528014208,0.3,0.30866693212669694,0.6567884400054361,10
shib,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,140,-0.15521898672886247,-6.110627867572278,-5.0,0.30866693212669694,-21.35194561211827,0.18796365528014208,0.3,0.30866693212669694,0.6567884400054361,10
shib,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,141,-0.15521898672886247,-6.110627867572278,-5.0,0.30866693212669694,-21.35194561211827,0.18796365528014208,0.3,0.30866693212669694,0.6567884400054361,10
shib,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,142,-0.15521898672886247,-6.110627867572278,-5.0,0.30866693212669694,-21.35194561211827,0.18796365528014208,0.3,0.30866693212669694,0.6567884400054361,10
shib,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
