asset,ema_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
shib,138,0.059297494634754866,2.1462289347735752,0.0,1.698231879759838,17.59544336994792,0.10000003637978905,0.6666666666666666,1.698231879759838,0.8198309828950936,3
pepe,138,0.12029645609655337,2.6182045177908524,0.0,1.915010610123338,23.058267375108116,0.16666664140292584,0.6666666666666666,1.915010610123338,1.4678165719546432,3
doge,139,0.1626106662849791,6.110627867572278,5.0,3.239738034489341,86.90349262010862,0.04618214554552761,0.7,3.239738034489341,0.6567884400054361,10
shib,139,0.059297494634754866,2.1462289347735752,0.0,1.698231879759838,17.59544336994792,0.10000003637978905,0.6666666666666666,1.698231879759838,0.8198309828950936,3
pepe,139,0.12029645609655337,2.6182045177908524,0.0,1.915010610123338,23.058267375108116,0.16666664140292584,0.6666666666666666,1.915010610123338,1.4678165719546432,3
doge,140,0.1626106662849791,6.110627867572278,5.0,3.239738034489341,86.90349262010862,0.04618214554552761,0.7,3.239738034489341,0.6567884400054361,10
shib,140,0.059297494634754866,2.1462289347735752,0.0,1.698231879759838,17.59544336994792,0.10000003637978905,0.6666666666666666,1.698231879759838,0.8198309828950936,3
pepe,140,0.12029645609655337,2.6182045177908524,0.0,1.915010610123338,23.058267375108116,0.16666664140292584,0.6666666666666666,1.915010610123338,1.4678165719546432,3
doge,141,0.1626106662849791,6.110627867572278,5.0,3.239738034489341,86.90349262010862,0.04618214554552761,0.7,3.239738034489341,0.6567884400054361,10
shib,141,0.059297494634754866,2.1462289347735752,0.0,1.698231879759838,17.59544336994792,0.10000003637978905,0.6666666666666666,1.698231879759838,0.8198309828950936,3
pepe,141,0.12029645609655337,2.6182045177908524,0.0,1.915010610123338,23.058267375108116,0.16666664140292584,0.6666666666666666,1.915010610123338,1.4678165719546432,3
doge,142,0.1626106662849791,6.110627867572278,5.0,3.239738034489341,86.90349262010862,0.04618214554552761,0.7,3.239738034489341,0.6567884400054361,10
shib,142,0.059297494634754866,2.1462289347735752,0.0,1.698231879759838,17.59544336994792,0.10000003637978905,0.6666666666666666,1.698231879759838,0.8198309828950936,3
pepe,142,0.12029645609655337,2.6182045177908524,0.0,1.915010610123338,23.058267375108116,0.16666664140292584,0.6666666666666666,1.915010610123338,1.4678165719546432,3
doge,143,0.1626106662849791,6.110627867572278,5.0,3.239738034489341,86.90349262010862,0.04618214554552761,0.7,3.239738034489341,0.6567884400054361,10
shib,143,0.059297494634754866,2.1462289347735752,0.0,1.698231879759838,17.59544336994792,0.10000003637978905,0.6666666666666666,1.698231879759838,0.8198309828950936,3
pepe,143,0.12029645609655337,2.6182045177908524,0.0,1.915010610123338,23.058267375108116,0.16666664140292584,0.6666666666666666,1.915010610123338,1.4678165719546432,3
doge,144,0.1626106662849791,6.110627867572278,5.0,3.239738034489341,86.90349262010862,0.04618214554552761,0.7,3.239738034489341,0.6567884400054361,10
shib,144,0.059297494634754866,2.1462289347735752,0.0,1.698231879759838,17.59544336994792,0.10000003637978905,0.6666666666666666,1.698231879759838,0.8198309828950936,3
pepe,144,0.12029645609655337,2.6182045177908524,0.0,1.915010610123338,23.058267375108116,0.16666664140292584,0.6666666666666666,1.915010610123338,1.4678165719546432,3
doge,145,0.1626106662849791,6.110627867572278,5.0,3.239738034489341,86.90349262010862,0.04618214554552761,0.7,3.239738034489341,0.6567884400054361,10
shib,145,0.059297494634754866,2.1462289347735752,0.0,1.698231879759838,17.59544336994792,0.10000003637978905,0.6666666666666666,1.698231879759838,0.8198309828950936,3
pepe,145,0.12029645609655337,2.6182045177908524,0.0,1.915010610123338,23.058267375108116,0.16666664140292584,0.6666666666666666,1.915010610123338,1.4678165719546432,3
doge,146,0.1626106662849791,6.110627867572278,5.0,3.239738034489341,86.90349262010862,0.04618214554552761,0.7,3.239738034489341,0.6567884400054361,10
shib,146,0.059297494634754866,2.1462289347735752,0.0,1.698231879759838,17.59544336994792,0.10000003637978905,0.6666666666666666,1.698231879759838,0.8198309828950936,3
pepe,146,0.12029645609655337,2.6182045177908524,0.0,1.915010610123338,23.058267375108116,0.16666664140292584,0.6666666666666666,1.915010610123338,1.4678165719546432,3
doge,147,0.1626106662849791,6.110627867572278,5.0,3.239738034489341,86.90349262010862,0.04618214554552761,0.7,3.239738034489341,0.6567884400054361,10
shib,147,0.059297494634754866,2.1462289347735752,0.0,1.698231879759838,17.59544336994792,0.10000003637978905,0.6666666666666666,1.698231879759838,0.8198309828950936,3
pepe,147,0.12029645609655337,2.6182045177908524,0.0,1.915010610123338,23.058267375108116,0.16666664140292584,0.6666666666666666,1.915010610123338,1.4678165719546432,3
doge,148,0.1626106662849791,6.110627867572278,5.0,3.239738034489341,86.90349262010862,0.04618214554552761,0.7,3.239738034489341,0.6567884400054361,10
shib,148,0.059297494634754866,2.1462289347735752,0.0,1.698231879759838,17.59544336994792,0.10000003637978905,0.6666666666666666,1.698231879759838,0.8198309828950936,3
pepe,148,0.12029645609655337,2.6182045177908524,0.0,1.915010610123338,23.058267375108116,0.16666664140292584,0.6666666666666666,1.915010610123338,1.4678165719546432,3
doge,149,0.1626106662849791,6.110627867572278,5.0,3.239738034489341,86.90349262010862,0.04618214554552761,0.7,3.239738034489341,0.6567884400054361,10
shib,149,0.059297494634754866,2.1462289347735752,0.0,1.698231879759838,17.59544336994792,0.10000003637978905,0.6666666666666666,1.698231879759838,0.8198309828950936,3
pepe,149,0.12029645609655337,2.6182045177908524,0.0,1.915010610123338,23.058267375108116,0.16666664140292584,0.6666666666666666,1.915010610123338,1.4678165719546432,3
doge,150,0.1626106662849791,6.110627867572278,5.0,3.239738034489341,86.90349262010862,0.04618214554552761,0.7,3.239738034489341,0.6567884400054361,10
shib,150,0.059297494634754866,2.1462289347735752,0.0,1.698231879759838,17.59544336994792,0.10000003637978905,0.6666666666666666,1.698231879759838,0.8198309828950936,3
pepe,150,0.12029645609655337,2.6182045177908524,0.0,1.915010610123338,23.058267375108116,0.16666664140292584,0.6666666666666666,1.915010610123338,1.4678165719546432,3
