total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades,asset,fast_period,slow_period,apo_combination,period_ratio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,4,150,4-150,37.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,4,151,4-151,37.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,4,151,4-151,37.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,4,151,4-151,37.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,4,152,4-152,38.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,4,152,4-152,38.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,4,152,4-152,38.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,4,153,4-153,38.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,4,153,4-153,38.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,4,153,4-153,38.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,4,154,4-154,38.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,4,154,4-154,38.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,4,154,4-154,38.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,4,155,4-155,38.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,4,155,4-155,38.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,4,155,4-155,38.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,4,156,4-156,39.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,4,156,4-156,39.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,4,156,4-156,39.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,4,157,4-157,39.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,4,157,4-157,39.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,4,157,4-157,39.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,4,158,4-158,39.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,4,158,4-158,39.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,4,158,4-158,39.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,4,159,4-159,39.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,4,159,4-159,39.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,4,159,4-159,39.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,4,160,4-160,40.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,4,160,4-160,40.0
