asset,vidya_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
ltc,14,0.2755351685750984,0.6828874743942405,0.8008877622308767,1.2285891218411231,0.5672331803047516,0.7645137181663784,0.48175965665236054,1.2285891218411231,0.6350351470815948,1864
xlm,14,0.34325267679945926,0.7375805470919149,0.8988483912154118,1.2936859882903036,0.731750215989072,0.6898138499440184,0.4973404255319149,1.2936859882903036,0.6843610988372308,1128
avax,14,0.8775902120351058,1.1852327476838773,1.4667154460375602,1.416105667265791,1.2618187479434895,0.7105326272840652,0.5243445692883895,1.416105667265791,0.7564450036371309,801
link,14,0.5733065756093054,0.9763729298236015,1.3226514332400476,1.2863446440482327,1.0606707138130473,0.6510053464244862,0.4968986905582357,1.2863446440482327,0.707211644645782,1451
ada,14,0.5543502161739373,0.9414555132524758,1.2560213476849438,1.343599069351647,0.9256171090566272,0.7100398204950227,0.49959967974379504,1.343599069351647,0.6980945957724053,1249
trx,14,0.5258768617943843,0.819779020923217,1.2981152087519874,1.3918108128772615,1.1142580779264306,0.639594918106795,0.5120207927225471,1.3918108128772615,0.8693486731321726,1539
sui,14,2.741182368637245,0.8956066548912562,1.3523805257732648,1.2609029728321746,1.2591728816423575,0.44781902463632034,0.46954314720812185,1.2609029728321746,0.6296085101936312,394
sol,14,1.097000952589716,1.3496051582254323,1.7287246002302914,1.4012081490051986,1.484299206235554,0.6872151939726241,0.5056925996204934,1.4012081490051986,0.7558010287007189,1054
bnb,14,0.5847131514571473,1.011581703162886,1.3582790626920835,1.3469830259284234,0.8965419617361619,0.7212858255816053,0.5203303684879288,1.3469830259284234,0.639259297610381,1574
btc,14,0.4566079567224055,1.1570243786893057,1.2780789300768776,1.3345166000121989,0.8350198613372151,0.5410078809874566,0.5317564607971966,1.3345166000121989,0.3904432214956769,2283
xrp,15,0.34456195171077053,0.734841215660329,0.9194356699731108,1.2954914793729833,0.6259283304329915,0.819846476159878,0.47717842323651455,1.2954914793729833,0.698334721975268,1205
eth,15,0.4351849029953212,0.9798900712804471,1.0874014608722031,1.287541710043884,0.8904912767591744,0.5388638957850284,0.5063649222065064,1.287541710043884,0.48970146001172943,1414
algo,15,-0.3315449715813358,0.24695373470556545,0.27894196923821135,1.072956846797129,0.17792280787553352,0.9097123329884144,0.48331539289558667,1.072956846797129,0.6554206310638692,929
vet,15,0.3996122082610982,0.8415473447454257,0.9750972306233302,1.2597483157061098,0.8338627085580765,0.6280143700381541,0.5122171945701357,1.2597483157061098,0.6222796220357938,1105
atom,15,0.059916798416169925,0.31382639467208023,0.3623421164053504,1.0864733763901677,0.2564978611434907,0.7624700686175697,0.47871333964049195,1.0864733763901677,0.6231851275310731,1057
pol,15,-0.027240945714116283,0.20332965901733252,0.20272998372500478,1.05980456811223,0.21868491682930283,0.4223016454325587,0.4918032786885246,1.05980456811223,0.45419345438642833,244
tao,15,0.7055104397641636,1.0985717872309024,1.378310205376347,1.3185348550133988,1.379709759507387,0.5645581980010598,0.5057736720554272,1.3185348550133988,0.7090355538397309,433
ltc,15,0.2882803579547544,0.6984356999025871,0.8170531505003402,1.2347228238807122,0.5989185781382574,0.7416946007690162,0.4822198275862069,1.2347228238807122,0.6360137028610616,1856
xlm,15,0.4209832848383608,0.8198605348802659,1.0011676186967031,1.3347075793825347,0.8554530607443652,0.6542555402991108,0.5031277926720286,1.3347075793825347,0.6826586725992003,1119
avax,15,0.7164344039028216,1.0673468568016222,1.3213451262450702,1.3666158150357812,1.0941869722911752,0.7362283580416766,0.5187032418952618,1.3666158150357812,0.7547419780805609,802
