asset,mfi_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
doge,42,-0.08199244684579587,-9.31573924324054,-5.0,0.0,-21.627062038281213,0.08199244684579587,0.0,0.0,0.19035051199948183,4
shib,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,43,-0.055632084604915755,-5.112667918208567,-2.3393757376645046,0.0,-23.33705704579549,0.050314404518168133,0.0,0.0,0.229662897581102,2
shib,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,44,0.04032414160301667,3.9549480695627866,0.0,8.247679002415804,0.0,0.0,0.5,8.247679002415804,0.21548637501227763,2
shib,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,45,0.01818652608952931,1.606089892440008,1.8064986913053496,1.620243361964896,15.861741797313009,0.02571111439559263,0.5,1.620243361964896,0.253922934067217,4
shib,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,46,-0.023639492460612033,-1.5450818977589056,-1.9920975070322144,0.67762681865015,-7.504076734798757,0.0614843311864976,0.2,0.67762681865015,0.2986140345573141,5
shib,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,47,-0.0666666302868778,-4.58257569495584,0.0,0.0,-21.0,0.0666666302868778,0.0,0.0,0.3055048796172531,1
doge,47,-0.12767286720511006,-4.898616449697636,-4.247411201627479,0.2638480130977339,-16.756148033399565,0.16148525453736293,0.16666666666666666,0.2638480130977339,0.5523745037042613,6
shib,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,48,0.0,0.21385384385587997,0.0,1.0714285296660613,1.499999122987286,0.0666666302868778,0.5,1.0714285296660613,0.4676085552627528,2
doge,48,-0.0758125549094888,-4.2713987622616765,-5.0,0.3793443676831711,-14.213782623253191,0.11163510666353713,0.16666666666666666,0.3793443676831711,0.3714841969938259,6
shib,48,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,49,-0.13333332120673713,-3.502021146049836,-3.6080252639762556,0.3571427349488171,-20.25000077956671,0.13333332120673713,0.3333333333333333,0.3571427349488171,0.7709833110014644,3
doge,49,-0.0758125549094888,-4.2713987622616765,-5.0,0.3793443676831711,-14.213782623253191,0.11163510666353713,0.16666666666666666,0.3793443676831711,0.3714841969938259,6
shib,49,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,50,-0.06666663028687769,-1.2470642258528843,-1.4493768018109696,0.7417583473864051,-8.134610824263671,0.13333332120673713,0.5,0.7417583473864051,0.8697344173926294,4
doge,50,-0.05698082381267344,-2.966553756502341,-3.8984436456219136,0.5467190301989909,-10.3806955685855,0.11163510666353713,0.2857142857142857,0.5467190301989909,0.3906384822795423,7
shib,50,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,51,-0.06666663028687769,-1.2470642258528843,-1.4493768018109696,0.7417583473864051,-8.134610824263671,0.13333332120673713,0.5,0.7417583473864051,0.8697344173926294,4
doge,51,-0.052691476961983175,-2.7096951527108124,-3.577111665065657,0.5840810354028351,-9.525059378909862,0.11163510666353713,0.375,0.5840810354028351,0.3924172129390119,8
shib,51,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,52,-0.06666663028687769,-1.2470642258528843,-1.4493768018109696,0.7417583473864051,-8.134610824263671,0.13333332120673713,0.5,0.7417583473864051,0.8697344173926294,4
