asset,hull_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
link,10,0.48668615712530894,0.9108121060178216,1.1759336796920672,1.2526240942665083,0.8512085986951528,0.7327378817094807,0.5043478260869565,1.2526240942665083,0.6847875444121267,1495
ada,10,0.6153229587324371,0.9133763320141457,1.4111094204852483,1.3524371516342546,0.9861589866853351,0.7749336368610389,0.4964788732394366,1.3524371516342546,0.8366844457093159,1420
trx,10,0.5649017431725118,0.8476681914066351,1.411427238424913,1.3889207874777385,1.0426501799344468,0.7074040636765648,0.5147625160462131,1.3889207874777385,0.8701222739699418,1558
sui,10,0.6112660893578554,0.5169561844784785,0.7137632438354977,1.1328723120684467,0.507449952481804,0.6329029420447729,0.48491879350348027,1.1328723120684467,0.6212645820075,431
sol,10,1.0581760633489852,1.332212238789422,1.6363409635686879,1.3996235197887572,1.237845481789567,0.8049849454496494,0.5114068441064639,1.3996235197887572,0.7479641371099686,1052
bnb,10,0.6011422125566723,1.041696949943714,1.3431452362381466,1.3671298656734556,0.7965337964280871,0.8111780812959714,0.5266579973992198,1.3671298656734556,0.6202674940239038,1538
btc,10,0.34505710578764814,0.9451529703630703,1.0392193119420352,1.2781470654907507,0.5279432387155996,0.7074093522306069,0.5198720877112837,1.2781470654907507,0.39514448584007056,2189
xrp,11,0.6769186046523377,1.0143879148250934,1.4000930426811604,1.4107774421879138,1.1128208488160467,0.6911748479770814,0.49678800856531047,1.4107774421879138,0.7582442276422229,1401
eth,11,0.41505954989684035,0.9403791576936322,1.0862560923612727,1.2655412763095644,0.7578903459856922,0.6216851417946814,0.4993489583333333,1.2655412763095644,0.5010416951014967,1536
algo,11,0.1708240795183502,0.5563053392672764,0.7130289407311701,1.1542805359590858,0.46703959436044185,0.8039433231199078,0.49434290687554394,1.1542805359590858,0.6749411465531728,1149
vet,11,0.3580284635771702,0.7834808114321348,0.9696997804731313,1.2219777606546316,0.7324023648841534,0.7062166898425624,0.49809014514896865,1.2219777606546316,0.6601754200155728,1309
atom,11,0.5601348323198971,0.39001537239251577,0.45858024009693726,1.1047338786956362,0.2734030956270889,0.9278779168173353,0.48107653490328006,1.1047338786956362,0.6504479381560451,1189
pol,11,0.03591412307651587,0.26660863355259434,0.31685884355103777,1.0670345498991698,0.2781554691729485,0.46696098199846364,0.48623853211009177,1.0670345498991698,0.4871850896292157,327
tao,11,0.7140642007517342,0.5415060023589278,0.6692448832126064,1.1419966216303739,0.5978688838961798,0.6191321675226447,0.48214285714285715,1.1419966216303739,0.683574801329039,448
ltc,11,0.25729368254384055,0.6608749457472183,0.7982659745881131,1.2120361845056462,0.5620673181226626,0.7401454232235036,0.48319532391622017,1.2120361845056462,0.6294860407843641,2053
xlm,11,0.6186422365226374,0.9764507166992751,1.449390375061674,1.3688577647593854,0.9501159530710894,0.7630745507575689,0.49963741841914433,1.3688577647593854,0.7424945178063785,1379
avax,11,0.36910905688521445,0.7693270984119224,1.0019460571880696,1.229694873260904,0.7587231111374938,0.7679115769630334,0.4983991462113127,1.229694873260904,0.7573271004681701,937
link,11,0.4364431215041409,0.8608365750100739,1.112193259865781,1.2373213919980517,0.7935436044878934,0.7417567476674017,0.5020053475935828,1.2373213919980517,0.6837724375155859,1496
