asset,vzo_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
tao,116,2.4503156861640814,0.8346591151608123,0.891835285977496,1.2752925640394923,0.7868708586942558,0.6217783910563793,0.48623853211009177,1.2752925640394923,0.5861785818918437,327
ltc,116,0.40002178418173706,0.8446543051345569,0.9511351108905033,1.3152981246911124,0.7914964555810551,0.6351127719647607,0.4914655679811654,1.3152981246911124,0.5951423024171841,1699
xlm,116,0.41704868827821473,0.8554422011277028,1.0739700997580905,1.3599415521252525,0.7614348720313728,0.6580761029395183,0.5164728682170543,1.3599415521252525,0.5857579770650733,1032
avax,116,0.3172770328667216,0.7653313860143243,0.717792549491315,1.2569161464016207,0.7071600283869719,0.6221950713551586,0.5221374045801527,1.2569161464016207,0.5749032280162006,655
link,116,0.5397080496644235,1.0220033316224155,1.291921250316456,1.3132237414317116,1.0563298710585896,0.5644549848956987,0.5024232633279483,1.3132237414317116,0.5834136181011388,1238
ada,116,0.41248839153922234,0.9093555239195167,0.9259339407283477,1.3086230465139694,0.7516671984721706,0.6438564371366564,0.515625,1.3086230465139694,0.5322074277778485,1088
trx,116,0.13416515114446792,0.4745502898920518,0.5167085813468163,1.177577549030399,0.41923333007050106,0.6176126576632082,0.5116640746500778,1.177577549030399,0.5456193298812182,1286
sui,116,1.2922614536391586,0.7036163500663964,0.868719881451005,1.2492294220321047,0.7942409895122372,0.4330899058602583,0.49049429657794674,1.2492294220321047,0.48887118007669084,263
sol,116,0.7044158966987051,1.1575316941223643,1.2506869204357733,1.4043271873977805,1.1328983581320144,0.6399281552356848,0.5087064676616916,1.4043271873977805,0.6263098972323415,804
bnb,116,0.38899518270350253,0.9017841378404029,1.0273369478761638,1.3254641285767579,0.7695269979933906,0.5695681213347901,0.5226209048361935,1.3254641285767579,0.486034327032115,1282
btc,116,0.47799338790624724,1.2754263925602642,1.3516983277481367,1.4179896788463917,1.010028243118995,0.44851094270630465,0.5397639815289892,1.4179896788463917,0.3551821744663233,1949
xrp,117,0.35631416221525525,0.8123863919421627,0.8460321978313957,1.324190323403183,0.7564220809631386,0.5958521719080919,0.49382716049382713,1.324190323403183,0.5548046401215606,1053
eth,117,0.31026247798092976,0.8274108805506726,0.8491812971802232,1.2585875757333294,0.7522397721165697,0.48942556851182906,0.5059008654602675,1.2585875757333294,0.444960764693272,1271
algo,117,2.1578287739748307,0.49186978124735864,0.5365732167131143,1.1661347835374103,0.3594216409863465,0.8142341406599299,0.5067650676506765,1.1661347835374103,0.5949813998350224,813
vet,117,0.5628089487410446,1.0549383173125282,1.1969731646100168,1.3771314103518273,1.0512492852783086,0.5739921657246604,0.510752688172043,1.3771314103518273,0.5719849626000799,930
atom,117,2.439470093015717,0.5028509437213486,0.5312090831473937,1.1570790692628163,0.4174882928200038,0.6832802557934183,0.48672566371681414,1.1570790692628163,0.5672884004109285,904
pol,117,-0.1572585727712963,0.02622581071156487,0.021227200904369744,1.0094244334832827,0.021305480359588944,0.4581317440723854,0.48466257668711654,1.0094244334832827,0.37217979580452865,163
tao,117,2.997815459041549,0.8974241066146178,0.963530574500387,1.2989986872769954,0.8519096179239893,0.6217783910563792,0.48773006134969327,1.2989986872769954,0.5902437739904643,326
