asset,trix_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
xrp,23,-0.8934117798558057,-0.016224137032145498,-0.015892897684572867,0.9951189520754534,-0.010585832983115575,0.9485566678572944,0.4853168469860896,0.9951189520754534,0.6189088788551784,1294
eth,23,0.22361618657137172,0.6518050098436369,0.6337095866211467,1.1777737222173505,0.509699221630938,0.6827716296773882,0.5180564674983585,1.1777737222173505,0.5339145341667999,1523
algo,23,0.7317612525962256,0.4401707835048266,0.4325423542098272,1.1362708435269564,0.419979437934374,0.7436277456713052,0.49377123442808607,1.1362708435269564,0.7095163385736523,883
vet,23,0.1616067516222921,0.5540057547926881,0.6161793551320727,1.160595740283277,0.415396501596948,0.9139485079804454,0.5093499554764025,1.160595740283277,0.6852835183939466,1123
atom,23,1.1445738959855238,0.45789986144427475,0.5005347994013739,1.1315977975958855,0.4395286321278224,0.7159176380989323,0.48722800378429515,1.1315977975958855,0.6871945739343692,1057
pol,23,-0.2712915339129791,-0.06847124095384462,-0.06323882338617628,0.9807422614961341,-0.057453950314705966,0.5146793514786442,0.47706422018348627,0.9807422614961341,0.4318654295719867,218
tao,23,0.8747501697715412,0.5929428415343972,0.786151203852825,1.1592142979429922,0.672937274812197,0.5958961781504253,0.4669926650366748,1.1592142979429922,0.6762890486338524,409
ltc,23,0.24969207290567974,0.6575211931503072,0.7058432169315536,1.2067021950527046,0.5254462723466304,0.8690429976413737,0.5094532447623914,1.2067021950527046,0.6944801298826211,1957
xlm,23,-0.7844947579248751,0.11257208282632304,0.13399735103279867,1.0364148835828462,0.08504803863351257,0.9075093140684434,0.48458498023715413,1.0364148835828462,0.6856219167788002,1265
avax,23,0.4278129917055493,0.8218622590410185,0.9979787257844686,1.2584313121270436,0.8242509358912761,0.7916727152332489,0.508557457212714,1.2584313121270436,0.7939736485916741,818
link,23,1.1757688914825972,0.4707447505903886,0.5613220166941836,1.1228213258218325,0.40374475064457754,0.905079096480492,0.48815461346633415,1.1228213258218325,0.7762613043774571,1604
ada,23,1.905688183898294,0.4552798954694697,0.4597554717341683,1.1352183553812212,0.3290954969840893,0.8193663265800759,0.5012744265080714,1.1352183553812212,0.5922725144272925,1177
trx,23,0.5478008865090329,0.362840408924101,0.407267035417406,1.111125501160346,0.2692933845649156,0.8803734823184975,0.5186060248080331,1.111125501160346,0.6533967796964456,1693
sui,23,0.7724174925860414,1.173102448533016,1.795064530091418,1.322184852791768,1.4863518739131145,0.5331969239351383,0.4916864608076009,1.322184852791768,0.6755746252569487,421
sol,23,0.9155221487175278,1.2072587099143728,1.501851782429555,1.3467395576710177,1.1628261600983256,0.8267061514346202,0.49814126394052044,1.3467395576710177,0.7962796471939039,1076
bnb,23,0.4560568091848487,0.9062217826923763,0.9929330852663782,1.2817620517985666,0.8342905265029181,0.6786246124285298,0.5273846153846153,1.2817620517985666,0.6247588570633901,1625
btc,23,0.43796975019254347,1.0514677640719365,1.1223181930112993,1.2981925910641596,0.6805604297081759,0.672321632479881,0.5403225806451613,1.2981925910641596,0.4351588462690201,2356
xrp,24,-0.9190628695673259,-0.0667827827072219,-0.06664768042369754,0.9802725824683272,-0.04232897790190053,0.9626832187474413,0.48392036753445633,0.9802725824683272,0.6101781782819342,1306
eth,24,0.2171069293588206,0.6423500912416348,0.6279633121832268,1.1747375774290985,0.48345614330249137,0.7039263069101586,0.5177865612648221,1.1747375774290985,0.5298006525540181,1518
algo,24,0.1294976348302801,0.3714498503427346,0.36301902958545845,1.1144306010964424,0.3531604443844929,0.7436277456713051,0.4908256880733945,1.1144306010964424,0.7070130863576845,872
vet,24,2.022133548829703,0.4940885151393181,0.5523817487130517,1.1417319791702467,0.3612743411444799,0.936244564581915,0.5035778175313059,1.1417319791702467,0.6845759977320217,1118
atom,24,1.319505242069495,0.4712173148814401,0.5146950728343674,1.1355128418279603,0.4388772326267777,0.7407219808609965,0.4895833333333333,1.1355128418279603,0.6898855429111129,1056
pol,24,-0.41636186247013796,-0.28367515138972793,-0.25792732435912585,0.9236858794499252,-0.20251003584120472,0.5926294926411635,0.4724770642201835,0.9236858794499252,0.42306638141328146,218
tao,24,1.0090290701362998,0.6235721777900007,0.8310690330025098,1.1671636024755006,0.7390201185131154,0.5795211794497509,0.463768115942029,1.1671636024755006,0.6868135333357442,414
