asset,hull_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
xmr,10,-0.00024056068687383636,0.16196372626332603,0.31470160547941234,1.0290340331836139,0.6527318795413443,0.09532040520222147,0.4444444444444444,1.0290340331836139,0.38415186339397606,9
aave,10,-0.0067838227155669895,-0.24500313452994632,-0.4959769566003768,0.9385451590317909,-1.5936716445409524,0.05447086650355441,0.2,0.9385451590317909,0.35431659095643026,5
uni,11,-0.06446338457515166,-2.6292925252401447,-2.9344830157339286,0.5229438614413622,-10.420674562702796,0.12335439326345612,0.3333333333333333,0.5229438614413622,0.48889044324222924,6
xmr,11,-0.00024056068687383636,0.16196372626332603,0.31470160547941234,1.0290340331836139,0.6527318795413443,0.09532040520222147,0.4444444444444444,1.0290340331836139,0.38415186339397606,9
aave,11,-0.0067838227155669895,-0.24500313452994632,-0.4959769566003768,0.9385451590317909,-1.5936716445409524,0.05447086650355441,0.2,0.9385451590317909,0.35431659095643026,5
uni,12,-0.06446338457515166,-2.6292925252401447,-2.9344830157339286,0.5229438614413622,-10.420674562702796,0.12335439326345612,0.3333333333333333,0.5229438614413622,0.48889044324222924,6
xmr,12,-0.00024056068687383636,0.16196372626332603,0.31470160547941234,1.0290340331836139,0.6527318795413443,0.09532040520222147,0.4444444444444444,1.0290340331836139,0.38415186339397606,9
aave,12,-0.06121929665081027,-2.856539903972159,-4.000719233550492,0.5171620428311107,-11.644835272119407,0.10629274343087623,0.16666666666666666,0.5171620428311107,0.43330796329959814,6
uni,13,-0.06446338457515166,-2.6292925252401447,-2.9344830157339286,0.5229438614413622,-10.420674562702796,0.12335439326345612,0.3333333333333333,0.5229438614413622,0.48889044324222924,6
xmr,13,-0.00024056068687383636,0.16196372626332603,0.31470160547941234,1.0290340331836139,0.6527318795413443,0.09532040520222147,0.4444444444444444,1.0290340331836139,0.38415186339397606,9
aave,13,-0.06121929665081027,-2.856539903972159,-4.000719233550492,0.5171620428311107,-11.644835272119407,0.10629274343087623,0.16666666666666666,0.5171620428311107,0.43330796329959814,6
uni,14,-0.06446338457515166,-2.6292925252401447,-2.9344830157339286,0.5229438614413622,-10.420674562702796,0.12335439326345612,0.3333333333333333,0.5229438614413622,0.48889044324222924,6
xmr,14,-0.00024056068687383636,0.16196372626332603,0.31470160547941234,1.0290340331836139,0.6527318795413443,0.09532040520222147,0.4444444444444444,1.0290340331836139,0.38415186339397606,9
aave,14,-0.06121929665081027,-2.856539903972159,-4.000719233550492,0.5171620428311107,-11.644835272119407,0.10629274343087623,0.16666666666666666,0.5171620428311107,0.43330796329959814,6
