asset,mfi_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
ltc,113,0.35942973255043764,0.7734096673245737,0.9933988515286618,1.2024535041589837,0.7205210777937404,0.813946045604983,0.5093490304709142,1.2024535041589837,0.7582854298602085,2888
xlm,113,0.1625286619579953,0.5460643869191768,0.7306685252880131,1.1596760768469057,0.5065618746956344,0.8060346277126538,0.5,1.1596760768469057,0.7477257661634565,1656
avax,113,0.3547406312398862,0.7655372931694975,1.0900087304806179,1.1872716704877053,0.8301087727897872,0.8254818481634176,0.5107438016528926,1.1872716704877053,0.8951095264113558,1210
link,113,0.25080960823514564,0.684315328034458,1.0178685995527328,1.14193661248322,0.7166384266381641,0.8205401331636708,0.5029535864978903,1.14193661248322,0.8592977037543035,2370
ada,113,0.20456735299750828,0.6083491811578312,0.8092730992694793,1.1502514102086219,0.5303110470836243,0.838926615568627,0.5034666666666666,1.1502514102086219,0.7313103489048605,1875
trx,113,1.4583859789299418,0.4488034755483024,0.5484002747448986,1.123105181319552,0.34808474774611114,0.9105976896165587,0.5194739504299444,1.123105181319552,0.7062449030750836,1977
sui,113,0.19737960718788838,0.4588304992349403,0.7277231642028917,1.0941501123425161,0.47753829638454615,0.7535814669715826,0.47368421052631576,1.0941501123425161,0.7843070818627323,570
sol,113,0.9786998383329459,1.1987875366009193,1.7989093816803439,1.2838702004646472,1.2195565141375022,0.8795735564619284,0.5006925207756233,1.2838702004646472,0.894812156195562,1444
bnb,113,0.5138370738567994,0.9459734928632193,1.2147924987138505,1.2490137153769796,0.8284567609785649,0.7624817878672177,0.5237633365664404,1.2490137153769796,0.6677599288429079,2062
btc,113,0.36505412165885587,0.9088926348506243,1.010096246472218,1.2381078245672974,0.49439792623268036,0.8408272404291461,0.527736131934033,1.2381078245672974,0.45737332226972843,2668
xrp,114,0.7422690511048644,0.4178528650563942,0.5106494005377629,1.1235781236452596,0.36525742334842054,0.8461786373259452,0.4982185273159145,1.1235781236452596,0.7396695215203067,1684
eth,114,0.23006214987311902,0.6547811677366983,0.7121986686825323,1.1583909378746546,0.5255276091704448,0.710131478232165,0.5202407002188184,1.1583909378746546,0.5699517889953927,1828
algo,114,0.2615427638132193,0.44068619124416636,0.550393042871384,1.1036730223055535,0.4185200113153225,0.8626948790220248,0.5076177285318559,1.1036730223055535,0.8193019833696641,1444
vet,114,-0.04678159025154327,0.39586917399953725,0.49259039512480757,1.0907129921201335,0.32720472037822906,0.9691957298267194,0.5060869565217392,1.0907129921201335,0.8010864159129907,1725
atom,114,-0.13434109695358354,0.3835394298856459,0.4555169904078611,1.0905558414731655,0.33703207107410943,0.9100149337522192,0.49966329966329964,1.0905558414731655,0.7996680234997592,1485
pol,114,-0.8723306775613998,-1.2974006368986182,-1.3335646810622708,0.7449878183418985,-0.7767504645166383,0.9110200087988805,0.45375722543352603,0.7449878183418985,0.5454253642961473,346
tao,114,0.5183992050596191,0.5503041303801155,0.8790215386613893,1.1221039005578395,0.5377140476389234,0.837360823884147,0.4561717352415027,1.1221039005578395,0.8182033408217317,559
ltc,114,0.3551017849205096,0.7692244110366472,0.9879781203428493,1.200919038079529,0.7079988837101101,0.825845497533807,0.5089841050449205,1.200919038079529,0.7601132803143709,2894
xlm,114,0.1807635241999217,0.5660371404540137,0.7497180624862303,1.1678570961605481,0.5213422690572048,0.8077320734684048,0.5024479804161567,1.1678570961605481,0.7439527230219104,1634
