asset,rsi_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
pol,81,-0.4670365860697747,-0.47741855416553763,-0.34112577834722224,0.8497176616581262,-0.26225527255388137,0.6813668589511934,0.4605263157894737,0.8497176616581262,0.374288032470285,152
tao,81,0.6590252034342972,1.0192729083200163,1.6113755982778137,1.2548766127341664,1.286515226411283,0.6324849687354342,0.47418738049713194,1.2548766127341664,0.7983156778841082,523
ltc,81,0.139739885116283,0.5197073278462487,0.5552411911729148,1.1633690399368593,0.38940930891367215,0.8970078559986553,0.4875406283856988,1.1633690399368593,0.6721152282807713,1846
xlm,81,0.1872404270832122,0.3383300368325439,0.4030726797870107,1.1170867704045677,0.2884630194452755,0.8183300559420243,0.48078641644325293,1.1170867704045677,0.6977150508120396,1119
avax,81,0.440295395132557,0.8309553535713399,0.9739932527119157,1.2781951728273289,0.8920767224717592,0.7443011294710293,0.5136986301369864,1.2781951728273289,0.7990486002128396,730
link,81,0.14738129737726235,0.5580774873243004,0.6610564206075192,1.1441300450672185,0.4704771940540874,0.9034587868527553,0.4921334172435494,1.1441300450672185,0.7616446902739734,1589
ada,81,0.15248013007035355,0.5334352021428559,0.5787715587545182,1.1547831655725014,0.41734994058799224,0.794538319058598,0.5064724919093851,1.1547831655725014,0.6216322412205283,1236
trx,81,0.7591486425648137,0.3844117353774464,0.4610435030660599,1.1129261658243577,0.3014425519792565,0.8505809131507,0.5168601437258153,1.1129261658243577,0.6669964975789251,1809
sui,81,1.0734640566446014,0.6621866202026182,0.9184101572595009,1.173279508029819,0.6651958605410722,0.6745329322965726,0.48292682926829267,1.173279508029819,0.6775982792056681,410
sol,81,0.9686557165910206,1.226035662488917,1.5454495892313806,1.351067004934115,1.3103849148461353,0.7695286144200707,0.5018552875695733,1.351067004934115,0.8224709270132052,1078
bnb,81,0.45438044084167073,0.9007387994184627,1.102839207259248,1.2622222221476649,0.7602728103584132,0.7344685881548297,0.5229411764705882,1.2622222221476649,0.6199316583197724,1700
btc,81,0.4925578214418693,1.1354764138282514,1.264561889527484,1.311395948454095,0.7280547097230697,0.6802143876950243,0.5396510705789056,1.311395948454095,0.436145817342943,2522
xrp,82,-0.6253376280390499,0.1898199792698448,0.20578449672181132,1.0587808929738673,0.14394051467380653,0.8866617205945995,0.48877245508982037,1.0587808929738673,0.6723556966704637,1336
eth,82,0.20392306313348874,0.6228441054484221,0.6251939762812336,1.1642050483217798,0.4188128694288951,0.7788153687590936,0.5214646464646465,1.1642050483217798,0.5236910753301334,1584
algo,82,-0.05411086835755807,0.29827831367197427,0.29185146165301507,1.1008958010422463,0.24685044252717617,0.7723171333105486,0.4880952380952381,1.1008958010422463,0.6391575162875875,672
vet,82,0.17435648649527224,0.5672387063070354,0.6114197704209434,1.174782808300506,0.4510343604815163,0.8453403398347574,0.5061224489795918,1.174782808300506,0.6721641794314002,980
atom,82,-0.7703486033704154,0.07247612390106005,0.07283069025962649,1.0211218888276805,0.0491929406512758,0.950850176722399,0.47231638418079097,1.0211218888276805,0.6453865603466129,885
pol,82,-0.48041342452780134,-0.5056159208939612,-0.3611989545738406,0.8411250519501404,-0.27768739945979803,0.6813668589511931,0.45695364238410596,0.8411250519501404,0.3742109046046607,151
tao,82,0.5430703227140958,0.9324085793999123,1.44816289164312,1.2296974864220784,1.1478679730585766,0.6380355639196351,0.47307692307692306,1.2296974864220784,0.7854717402611946,520
ltc,82,0.15487537451426658,0.5392827113290465,0.5766289348314313,1.169996010821618,0.4098378832317246,0.8842865954678721,0.4889009204114781,1.169996010821618,0.6720299739696495,1847
xlm,82,0.558640255613263,0.37249313365290654,0.44792107401757103,1.1294790852898182,0.3248665842549645,0.798729640855839,0.4808548530721282,1.1294790852898182,0.6966049753008816,1123
avax,82,0.39830726555643614,0.7940872074027764,0.929567227911907,1.26422928313528,0.840335943771659,0.7530266606480186,0.5123287671232877,1.26422928313528,0.7968839740291993,730
link,82,0.15122431750043153,0.5621611592002714,0.6677207566378442,1.1452335752633744,0.4720967304195455,0.9060401618572298,0.49181360201511337,1.1452335752633744,0.7608825174796734,1588
ada,82,0.15684568404097643,0.5390934388871704,0.586016034003889,1.156944531890707,0.4211265682712867,0.7927972241318757,0.5069161920260374,1.156944531890707,0.6193137409033387,1229
trx,82,1.1416764731216915,0.41057213165071915,0.49532385177597194,1.1209136782550564,0.3177643960187943,0.861667809705781,0.5174129353233831,1.1209136782550564,0.6668921975272485,1809
sui,82,1.1916847244652948,0.6879487690648254,0.9524475916642273,1.180600691607304,0.7022916068959044,0.6640873788255548,0.4841075794621027,1.180600691607304,0.6779327376785245,409
sol,82,0.9819494809539142,1.2341257462161006,1.5555051776381914,1.35347925183765,1.3229662389174508,0.7674619235077389,0.5027777777777778,1.35347925183765,0.822708883246649,1080
bnb,82,0.4801658477973414,0.929445607167169,1.1409669446919333,1.271681408011585,0.7834986436379792,0.7344685881548297,0.5235294117647059,1.271681408011585,0.6191380519489722,1700
btc,82,0.4947906429632323,1.1388563505546445,1.268425954224601,1.3122686908425907,0.7302793936430176,0.6802143876950243,0.5400158478605388,1.3122686908425907,0.4361801647339051,2524
xrp,83,-0.6203496501387413,0.19170157893408502,0.20814460490077044,1.0592890077743073,0.14563122309191712,0.885373040877911,0.488441461595824,1.0592890077743073,0.6725972709906284,1341
eth,83,0.18701588422766124,0.5959535354238367,0.5969740505879269,1.1566547697913345,0.41327702845346703,0.7543961944781301,0.5211891208096142,1.1566547697913345,0.5231525597189287,1581
algo,83,-0.1275394698794643,0.28411874908004114,0.2785342379123858,1.0958179834950041,0.2332940336307128,0.7787754900548829,0.48660714285714285,1.0958179834950041,0.6394638719053887,672
