asset,max_pivot_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
bnb,5,0.12854768155487717,0.5260398947758103,0.7580052250720252,1.1247235376907818,0.4425113511224465,0.933202708279463,0.502742946708464,1.1247235376907818,0.7850218118682145,2552
btc,5,0.216910292857581,0.6310415244529091,0.837322815399056,1.1349418881254905,0.5346564501347909,0.6446587264046179,0.5142857142857142,1.1349418881254905,0.5461937651515502,3745
xrp,6,0.9582241689723088,0.4923622182923248,0.6124850276831285,1.1254498680935925,0.5139875171403117,0.8226772617683326,0.5065044062106588,1.1254498680935925,0.8588105006323695,2383
eth,6,0.23844393718206613,0.6515903167160862,0.8622498127345514,1.142342035854894,0.5532808326153609,0.7777228833633445,0.5062604340567612,1.142342035854894,0.6603829943635923,2396
algo,6,0.21488748289146598,0.6486975159245492,0.9602936168859512,1.1401218910086948,0.7645546790095668,0.738927551863951,0.5,1.1401218910086948,0.8708997697046494,1942
vet,6,-0.5741483374161773,0.33153967394568384,0.47730071862712153,1.0661236478912648,0.2961470055370559,0.9635172980008911,0.4966015293118097,1.0661236478912648,0.8606594776131281,2354
atom,6,-0.9305575691007241,0.09314149795674169,0.12984518726019714,1.018770837824834,0.08181891533196782,0.9647671150371081,0.4759305210918114,1.018770837824834,0.8474868950137442,2015
pol,6,0.035810264403222325,0.34057130118172274,0.5182564677100161,1.0638748665663662,0.32874870023525793,0.6731979046886624,0.48205928237129486,1.0638748665663662,0.6498284952360334,641
tao,6,-0.86086340568484,-0.09545581022679962,-0.12067467522836642,0.9820207159443942,-0.09223836463268555,0.9393052504443277,0.4987562189054726,0.9820207159443942,0.9076449090529575,804
ltc,6,2.0096553882607755,0.4793748829169071,0.639811252262563,1.1108123970591466,0.4105856252231874,0.9360699535937045,0.4862227324913892,1.1108123970591466,0.8017459421534411,3484
xlm,6,0.2237522349487573,0.46534750530168534,0.6079596402064215,1.1132844137559277,0.41209605908213254,0.9754581975879002,0.499370012599748,1.1132844137559277,0.8638328871339455,2381
avax,6,0.9377590319230216,0.5337345889023756,0.8291553496185285,1.1173268515888535,0.5532000460361844,0.8874542468056503,0.4910773298083278,1.1173268515888535,0.9198199636967693,1513
link,6,-0.9809797583863329,0.1172445436301374,0.1668086805146485,1.022770571126911,0.11208315895554367,0.9966057947543308,0.47915027537372146,1.022770571126911,0.9527328287604226,2542
ada,6,0.4075806706569942,0.8075829267364972,1.2450642394113511,1.2020989585961186,0.8436634871088807,0.9782916814465844,0.5017051913603637,1.2020989585961186,1.0219990344696022,2639
trx,6,0.33104233180094433,0.7030743004637574,1.1609347344177219,1.2150465227171583,0.738561950704771,0.9616100789003079,0.49439102564102566,1.2150465227171583,1.01014731333732,2496
sui,6,1.9888881817513164,0.7793666634435598,1.1726726086698795,1.1559047543490206,0.8682808132276107,0.7629475367982371,0.5030902348578492,1.1559047543490206,0.8499885083282747,809
sol,6,0.6338693279791157,0.9979347236597441,1.3047340757314045,1.2263331639230437,1.2699047378077302,0.7539704816206656,0.5072815533980582,1.2263331639230437,0.959452220748377,1648
bnb,6,0.2537149579639415,0.6557011247944179,0.9224775230185466,1.1675374713306121,0.5427599787439684,0.921190670749572,0.5043365134431916,1.1675374713306121,0.7625203159929613,2306
btc,6,0.20399724113358708,0.6132274781433548,0.7796477595276989,1.1357742672469733,0.5474843198959866,0.5993453793866692,0.5171722953634803,1.1357742672469733,0.535090499221897,3494
xrp,7,-0.21521345303703276,0.4193606353686336,0.5496944596119332,1.0993278838222706,0.4158220456832242,0.8992586305159938,0.5040861812778603,1.0993278838222706,0.8916706333458203,2692
eth,7,0.23645909843577706,0.6504802511690075,0.9015995007631221,1.1338584038067203,0.5608467451449746,0.795373106765528,0.5045011252813203,1.1338584038067203,0.6857739605524038,2666
algo,7,0.1654913235690687,0.6135720030358872,0.9746608037129363,1.122623486122882,0.7349867998959403,0.7618956562242839,0.49499545040946313,1.122623486122882,0.9126610201446088,2198
vet,7,-0.5782371288688991,0.3411973145332197,0.5065083729398039,1.066064825094911,0.3089375758568546,0.9701841789130532,0.4975728155339806,1.066064825094911,0.8784545938707543,2472
atom,7,-0.987294291816744,-0.06271163432838846,-0.08962894417984249,0.9881194199369147,-0.056318398106324566,0.9927295462302763,0.4738255033557047,0.9881194199369147,0.8915241708379243,2235
pol,7,-0.042436054357228414,0.31075326418164284,0.48250557467236893,1.0565285016367154,0.2805200222642349,0.7431389598728864,0.48301329394387,1.0565285016367154,0.6708388345266403,677
tao,7,-0.8879522562418471,-0.10846949090469245,-0.147296817729676,0.9808293955542399,-0.10713057747404374,0.9620489909126004,0.4961154273029967,0.9808293955542399,0.9501737594154164,901
ltc,7,2.9828741154785794,0.5075765153475641,0.7052281892989517,1.1128190827320208,0.4478253536520394,0.9297186728625092,0.4886515353805073,1.1128190827320208,0.820273556562128,3745
xlm,7,0.08248904288902925,0.46660126346485353,0.6362145114882796,1.1068042764610968,0.42863199134390567,0.9689246559778498,0.5,1.1068042764610968,0.8900792545438052,2642
avax,7,0.45033300547102484,0.505748419829434,0.8177691656421917,1.1039597494663083,0.5462810659867846,0.8792783285467949,0.49227110582639716,1.1039597494663083,0.9497471149383243,1682
link,7,-0.9769731731838086,0.1597056021114723,0.23923819720985143,1.0305176926887785,0.1583547054621368,0.9967540442062972,0.48013245033112584,1.0305176926887785,0.9883228327727118,2718
ada,7,0.36919979485967924,0.784334689399337,1.2469224746960947,1.1866824974841081,0.8255506731827021,0.985344131704745,0.5003541076487252,1.1866824974841081,1.037122955594937,2824
trx,7,0.2512810520591522,0.6513259418308531,1.0711458328982604,1.188362911935779,0.6875947881963245,0.976792352346622,0.4945996275605214,1.188362911935779,1.0311846765010118,2685
sui,7,2.4748157674883875,0.8285068867525885,1.2920651962257734,1.1607337435767464,0.9391869763307543,0.7657443410759243,0.5034965034965035,1.1607337435767464,0.868039993193498,858
