asset,bbpct_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
vet,88,0.21744258204174338,0.6223974088542323,0.7104976883629383,1.1775090903543624,0.47853653295856197,0.8780055280140784,0.5043706293706294,1.1775090903543624,0.6750634165842279,1144
atom,88,0.8716542359908663,0.427752084581011,0.467589701046413,1.1215448700909771,0.4274242355261232,0.6596720518115409,0.48452611218568664,1.1215448700909771,0.6591664485274934,1034
tao,88,0.4970007699085164,0.9083361749014401,1.2605840803493533,1.2416658992092364,1.3725036312661003,0.4823614839962972,0.47191011235955055,1.2416658992092364,0.7288522759094764,445
ltc,88,0.21384960100093986,0.6121797104044994,0.6657989236966366,1.1939182505323092,0.49612171292909907,0.8280756438630748,0.49453409682457056,1.1939182505323092,0.6710877539485272,1921
xlm,88,0.21213384814462666,0.3307351031368868,0.42179013108384783,1.1116313377660572,0.2595913175352741,0.8646356106181341,0.4856,1.1116313377660572,0.6786455239236581,1250
avax,88,0.49845839622819743,0.881859679424979,1.0855450563645295,1.2801321999393782,0.9384144891261932,0.7453457944127768,0.5169082125603864,1.2801321999393782,0.7931457908839851,828
link,88,0.16403174571136692,0.5690680476911241,0.6735267906685106,1.1485148878515963,0.46400619578727276,0.8914095022068467,0.48973042362002567,1.1485148878515963,0.7268366826881271,1558
ada,88,0.3006354790181436,0.7361950953833153,0.8317495744168073,1.2264903601091934,0.6038162355565027,0.7056803698940604,0.5004248088360238,1.2264903601091934,0.5787885128923514,1177
trx,88,0.14149715988894007,0.4957020946752589,0.5825329878661563,1.1555750414879176,0.4122892421135651,0.7282860392470352,0.5170965806838632,1.1555750414879176,0.605735788467381,1667
sui,88,0.8432628942676552,1.2371913487354758,2.0809177057311987,1.3374159522199665,1.7734422000446126,0.465297015219738,0.4918793503480278,1.3374159522199665,0.6669763437877994,431
sol,88,0.9038033830239531,1.186743079712834,1.5046193723730523,1.3454192693435767,1.2373442907064987,0.7829959462018377,0.4934086629001883,1.3454192693435767,0.81638189448184,1062
bnb,88,0.4882210427349196,0.9608108280127238,1.1726798831181309,1.289095895820124,0.8398685626242207,0.6652234447673624,0.5254237288135594,1.289095895820124,0.5814883035157662,1652
btc,88,0.4148038041769424,1.0333951962201404,1.104248421205542,1.2921929559524843,0.6911491394708155,0.6299047740802309,0.5365853658536586,1.2921929559524843,0.4212891100583046,2337
xrp,89,-0.6812173321972884,0.13088265447251865,0.13085894332497536,1.04019446482146,0.08774866662545706,0.904837153575841,0.48093385214007783,1.04019446482146,0.6066369455864389,1285
eth,89,0.18459964638744375,0.5966966874999805,0.5828978327574044,1.1586911754718108,0.4054966123367861,0.7341837150945447,0.5163987138263666,1.1586911754718108,0.4989285436642947,1555
algo,89,1.4045244324581927,0.4729423944052844,0.5122937453112488,1.1464332069500172,0.4290678763196746,0.7478426100791129,0.4901277584204414,1.1464332069500172,0.678465801171201,861
vet,89,0.24701101835936967,0.6570555348002844,0.7586936653647429,1.1889431941906814,0.5091172826644529,0.8811434592463266,0.5052356020942408,1.1889431941906814,0.6827510611342797,1146
atom,89,0.8385584153073637,0.4249775118602652,0.46501366657089854,1.1206914152147627,0.4248705769542996,0.6596720518115408,0.48455598455598453,1.1206914152147627,0.6595060619253469,1036
tao,89,0.49843520562144494,0.9108630853308187,1.267162762175988,1.243658681824909,1.2692169316132793,0.5194106101177113,0.47058823529411764,1.243658681824909,0.7237583248656411,442
ltc,89,0.1942395926167373,0.5880807752914795,0.6394649236781117,1.185417882680497,0.4603864879500076,0.8585205602566847,0.4921793534932221,1.185417882680497,0.6721037010154658,1918
xlm,89,0.2775155408994261,0.3373337764904973,0.4319158215665771,1.113926512091715,0.2612502507822441,0.8757039031382663,0.4855769230769231,1.113926512091715,0.6781943589698815,1248
avax,89,0.523114813531687,0.9025299166267231,1.106683102700434,1.2883799355645593,0.9440725904608005,0.757821460007051,0.5176184690157959,1.2883799355645593,0.7927033283612918,823
link,89,0.1779937109218097,0.5855507095344608,0.6936964343684061,1.1531055974560567,0.4801374816066068,0.8871817316306485,0.49131832797427655,1.1531055974560567,0.7274676563729089,1555
ada,89,0.32066599400555584,0.763148648676292,0.8593521310014856,1.2366934826801357,0.6331171449058954,0.6956047262383168,0.5017064846416383,1.2366934826801357,0.5770819079912388,1172
trx,89,0.13546812930040675,0.4869777374481299,0.57225223616782,1.1526692929178248,0.4012960724112332,0.735260171227557,0.5168067226890757,1.1526692929178248,0.6058942662557696,1666
sui,89,0.71162156926542,1.131309585305423,1.8722174097145088,1.3034336735038752,1.4117007768115077,0.5292216221909667,0.4883720930232558,1.3034336735038752,0.6603873818948829,430
sol,89,0.8865898046114262,1.175589257597198,1.4921266549669807,1.3415813498704923,1.237239641540322,0.7756827041831043,0.49200376293508935,1.3415813498704923,0.8163611437162037,1063
bnb,89,0.5174118779790213,0.996146819593052,1.2369468098966363,1.3007349358156473,0.8492398256155076,0.6781367542242985,0.5257108287961283,1.3007349358156473,0.5781283718158914,1653
btc,89,0.4278525482540858,1.0539550672370175,1.1283719741189997,1.2990599146113473,0.7556525661224239,0.5887164869125832,0.5367521367521367,1.2990599146113473,0.42209116677080205,2340
xrp,90,-0.6483378485352895,0.14545606758360466,0.14542823565128116,1.0447341092084792,0.09800034411995043,0.9008382885880438,0.48254460822342904,1.0447341092084792,0.6069355768009668,1289
eth,90,0.18452439906538598,0.5963296961183516,0.584554032218233,1.158132172466524,0.4091530850019785,0.7289000394439402,0.5157152020525978,1.158132172466524,0.5001121053300067,1559
algo,90,1.3473442395115205,0.46898764468151033,0.5076240982023384,1.1452694153460508,0.42543596611071766,0.7478426100791129,0.48953488372093024,1.1452694153460508,0.6783955759300015,860
vet,90,0.2454474326643452,0.6551880208142251,0.7566232502159816,1.188472218660931,0.5006568164695409,0.8930242185104239,0.5039301310043668,1.188472218660931,0.6823974921183743,1145
atom,90,1.0212333002348943,0.44025036382595645,0.4802182115004916,1.125713633850504,0.4396680927699253,0.659672051811541,0.48496605237633367,1.125713633850504,0.6587995756620508,1031
tao,90,0.5657648696889579,0.9696352133693105,1.3582084544076396,1.2608714619308559,1.3604102159964386,0.5194106101177111,0.47297297297297297,1.2608714619308559,0.7287395203457262,444
ltc,90,0.19350609695278198,0.5872395517298046,0.6375436426891188,1.1851571227728541,0.45071151384585123,0.8761649342957526,0.49268547544409613,1.1851571227728541,0.6724642826796282,1914
xlm,90,0.13003593473463337,0.3205392125179151,0.4100402659360992,1.1082254885340042,0.24817980780792298,0.8741583230208969,0.485140562248996,1.1082254885340042,0.6768234154468608,1245
avax,90,0.5101461877380544,0.8916526101484482,1.0914251722923884,1.2844644632110076,0.9002923694799568,0.7859751122889377,0.5170731707317073,1.2844644632110076,0.7935908986764203,820
link,90,0.15198179293226088,0.5549209894630507,0.6592589802111181,1.1443922804517308,0.4500773651319223,0.8974342294520667,0.48973042362002567,1.1443922804517308,0.7278780962345952,1558
ada,90,0.34174892776670074,0.790775189498688,0.8910586324358979,1.2465171551592586,0.6590757995137714,0.6917463299684473,0.5029991431019709,1.2465171551592586,0.5765396683394908,1167
trx,90,2.1846875279719002,0.4485176285729609,0.5231960820224767,1.1395283833669334,0.35249182320469646,0.7743718432440895,0.5167865707434053,1.1395283833669334,0.608581971977246,1668
sui,90,0.7189582083088084,1.137489919947718,1.8836249230645261,1.304914255963832,1.420302339522199,0.5292216221909667,0.4895591647331787,1.304914255963832,0.6608012035465873,431
sol,90,0.842251224012053,1.1462863517463562,1.4589570491702952,1.3316014162531624,1.1919348500692333,0.7852684611005656,0.48872180451127817,1.3316014162531624,0.8165401638255835,1064
bnb,90,0.5083301698712253,0.9856710328337444,1.225761428388422,1.2970001693935604,0.81712951381236,0.6974856688698267,0.5244712990936556,1.2970001693935604,0.5782214415454195,1655
btc,90,0.42541091958337995,1.049453366322464,1.12528031617985,1.297106674714169,0.7375871414546585,0.6009826180056714,0.5364605543710022,1.297106674714169,0.4223885172069047,2345
xrp,91,-0.7398492575289375,0.1011291211344581,0.1012886940497397,1.030901904872357,0.06732062897438994,0.9116454175839435,0.47863247863247865,1.030901904872357,0.606873096739093,1287
eth,91,0.2028468259644436,0.6266330573899719,0.6161835303214772,1.1667232885956502,0.45770507043239245,0.6863947586967842,0.515695067264574,1.1667232885956502,0.5013561887116048,1561
algo,91,1.615888855100692,0.48721390619111593,0.527104799253307,1.1514012888071168,0.4585627160891897,0.7216109092566616,0.49008168028004667,1.1514012888071168,0.6791757261101723,857
vet,91,0.23212244886915556,0.6393941093770444,0.7372040926639005,1.183874708607955,0.4840636889652976,0.9006598861032454,0.5030674846625767,1.183874708607955,0.6818591860268618,1141
atom,91,1.685613119958839,0.48729800027046066,0.5335305056996342,1.14001796219264,0.5137511100090656,0.6276279560643204,0.48549323017408125,1.14001796219264,0.6616989171344888,1034
tao,91,0.6786906095321494,1.0651592296824617,1.4857641214113024,1.2908995519938318,1.6099099865550828,0.4823535759461758,0.47737556561085975,1.2908995519938318,0.7290420223817642,442
ltc,91,0.19033576114997608,0.5833034327427522,0.6338146004091113,1.1836818795754736,0.44434600833139687,0.8830102436697119,0.4921711899791232,1.1836818795754736,0.6726551826472957,1916
xlm,91,0.24456565600457103,0.33299579771930404,0.4255668229863521,1.1128316018021238,0.26005992716640436,0.8660311841096324,0.48592115848753015,1.1128316018021238,0.6763448914548561,1243
avax,91,0.49672590651909543,0.8803679135412009,1.0768202652164471,1.2810734974854416,0.8741665550293929,0.7991166817159792,0.5140758873929009,1.2810734974854416,0.79348766121232,817
link,91,0.16610912923070265,0.5718545703348217,0.6806320162780006,1.1487251248195969,0.4709891023977527,0.884838288312974,0.490722968650032,1.1487251248195969,0.7287677895722408,1563
ada,91,0.35912272357668984,0.812047457901575,0.9176050703495138,1.2542894275921306,0.6673803745264866,0.7041026606980252,0.5034305317324185,1.2542894275921306,0.5786660531097912,1166
trx,91,1.8316931745260234,0.4319931899450788,0.5031938081119908,1.1339233164562925,0.3347030214291478,0.7880397256795262,0.5158777711204314,1.1339233164562925,0.6105635073197963,1669
sui,91,0.7018055073204106,1.121757572716059,1.8637968121529285,1.2993870745153249,1.3604846485371558,0.5454416702244089,0.48842592592592593,1.2993870745153249,0.6615199549899601,432
sol,91,0.8143516075773527,1.1281243224134616,1.4329058698200354,1.3269624626603431,1.155182203906451,0.7959286170740804,0.48819641170915956,1.3269624626603431,0.815018837690542,1059
bnb,91,0.5217289264929457,1.0007897250335906,1.2435173551945957,1.302157791601343,0.8515753365406827,0.6798532639153901,0.5257108287961283,1.302157791601343,0.5784894244368848,1653
btc,91,0.43309197092971563,1.0613182840365623,1.1394862650874265,1.3003192194980295,0.752708433126666,0.5963751877610095,0.5376756066411239,1.3003192194980295,0.4229613678451867,2349
xrp,92,-0.7670518273463116,0.08484544251819881,0.08501185884787338,1.0258824596254428,0.05581951119141157,0.9224523120282405,0.4774494556765163,1.0258824596254428,0.6068780552798624,1286
eth,92,0.21426715631370308,0.6456543688083517,0.6375389343687481,1.1723786421167095,0.48301022584912007,0.6686135878539159,0.515695067264574,1.1723786421167095,0.5001858822254329,1561
algo,92,2.554198249248576,0.5369213053478661,0.5875255216808214,1.1680925522834251,0.5028451532361397,0.7216109092566616,0.49122807017543857,1.1680925522834251,0.6758132795772437,855
vet,92,0.2619157977803648,0.6744475818407836,0.7775518737771491,1.194628123139471,0.5121516478704946,0.8990351786423606,0.506993006993007,1.194628123139471,0.682695528358979,1144
atom,92,1.7245804863578247,0.4897950218305767,0.5362410756451751,1.1408468491066805,0.5190179800944634,0.6247916396188602,0.48546511627906974,1.1408468491066805,0.6620689887024999,1032
tao,92,0.7588815018439956,1.1304126969803552,1.574269686812574,1.3126350286238622,1.7034723546247976,0.4823535759461757,0.47954545454545455,1.3126350286238622,0.7268814159409629,440
ltc,92,0.19034006939418235,0.5834575570533308,0.6291154388679293,1.1832267180243687,0.45862864403536296,0.8502558300740191,0.4942528735632184,1.1832267180243687,0.6683462639500373,1914
xlm,92,0.18360697379506097,0.3257685743894389,0.4147070093309351,1.110726140121322,0.2533343828110631,0.8681227686393131,0.48707592891760904,1.110726140121322,0.6750968727098973,1238
avax,92,0.5234227630866637,0.9021771646661075,1.105803974005666,1.2889961712690234,0.8885815164640904,0.8079223973939409,0.5147058823529411,1.2889961712690234,0.7957471516443286,816
link,92,0.1773902086925212,0.5851271774339797,0.6962403445986377,1.152430860634542,0.47892388067183816,0.8907649811469929,0.4913516976297245,1.152430860634542,0.7290870053384747,1561
ada,92,0.3581815953241938,0.8107472664293065,0.9165669434289992,1.2538069688689628,0.6528223111212683,0.7189401331299857,0.5021459227467812,1.2538069688689628,0.5788982321640352,1165
trx,92,2.174139133919728,0.4486584393945824,0.5216709112436773,1.1396157261011217,0.3584908588868102,0.7638805090936736,0.517406962785114,1.1396157261011217,0.6103622616826486,1666
sui,92,0.6993392841839021,1.1190458994998003,1.865138091515848,1.29756622451355,1.3586765489234456,0.5454416702244089,0.48847926267281105,1.29756622451355,0.6622416528855457,434
sol,92,0.8353356479202909,1.1416874225866476,1.452148379423365,1.3311286200120616,1.1888562073822604,0.7838655863624422,0.48867924528301887,1.3311286200120616,0.8162509717317995,1060
bnb,92,0.4814634807702389,0.9541479806908102,1.1863255875151013,1.2858950239521665,0.7734634471107098,0.7140669412385335,0.5241837968561064,1.2858950239521665,0.5788459327223898,1654
btc,92,0.39856059636501073,0.9997570085413913,1.0596176942681748,1.2814008351081188,0.6873791302310124,0.6196425393960076,0.535972754363559,1.2814008351081188,0.4260328721331784,2349
xrp,93,-0.7368442451287887,0.10241459265614604,0.10261240926043935,1.0313176609249721,0.06818724972872271,0.911080073475633,0.4798136645962733,1.0313176609249721,0.6065936785153817,1288
