asset,mom_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
sol,127,0.8650015720919599,1.1674764673723654,1.4993709545969784,1.315707129141155,1.3200356789528447,0.7142532398424973,0.5083996463306808,1.315707129141155,0.8075878073344,1131
bnb,127,0.4804148066509122,0.9377171534703954,1.154095154532372,1.2800937841517035,0.8881564748141259,0.6365397059956448,0.5223048327137546,1.2800937841517035,0.6028970028585069,1614
btc,127,0.4706849394692354,1.0748731343731284,1.182947890369632,1.2930069893945746,0.7577116146273767,0.6452284960073694,0.5409379968203497,1.2930069893945746,0.45484170166599713,2516
xrp,128,0.14005143673051124,0.515761671546354,0.6034842398317517,1.1658999468530975,0.45836095166936475,0.7880481642185538,0.5040983606557377,1.1658999468530975,0.7003438340610552,1464
eth,128,0.24715240482661982,0.6935837887727552,0.673108613183432,1.187400259088724,0.5569486494133906,0.6417547652094443,0.5300653594771242,1.187400259088724,0.515329878702101,1530
algo,128,-0.5835893954986862,0.22036554748541234,0.2165976249111841,1.0620559138919252,0.185023471514135,0.8513897984386154,0.4966887417218543,1.0620559138919252,0.7148444841599398,906
vet,128,-0.3598424006514127,0.29689238446139865,0.3150044686944308,1.0807798848676524,0.24397129577685697,0.8727147259306122,0.5004177109440268,1.0807798848676524,0.7171532638504546,1197
atom,128,-0.6993533412987076,0.14166330802531538,0.14849560886878246,1.0385195201389492,0.10224833027491108,0.939564362390172,0.4923224568138196,1.0385195201389492,0.6781493992999158,1042
pol,128,-0.676618242331346,-0.9742163918573485,-0.6772947428676769,0.7337541992089229,-0.5509427977233604,0.7175083222797455,0.46745562130177515,0.7337541992089229,0.4057682110161835,169
tao,128,2.577989257644995,0.879991499368865,1.3691329547657378,1.212793965113715,1.0789318796872982,0.6141593207520984,0.46558704453441296,1.212793965113715,0.7530028083700608,494
ltc,128,0.33793775780758395,0.7525017138443015,0.861091669103724,1.2302542265272927,0.6802302244924489,0.781106549100536,0.5092198581560283,1.2302542265272927,0.7060878048141116,2115
xlm,128,1.3968464644453014,0.42399101237003556,0.524904989631846,1.1458001334024186,0.3663444651436002,0.7892228139043361,0.4909240924092409,1.1458001334024186,0.6819187228114566,1212
avax,128,0.7394626988406874,0.4793626316657361,0.5536319726937543,1.138455976059896,0.4926767219647296,0.7705501446865426,0.5086633663366337,1.138455976059896,0.7919518425423173,808
link,128,0.3128217011183283,0.7339047972809166,0.8733864620443541,1.1945704379831985,0.6309989792182034,0.8857223063161856,0.5063775510204082,1.1945704379831985,0.7615291155296533,1568
ada,128,0.3911533898365862,0.8142005515077878,0.9841648151973491,1.2533581400540923,0.7084216214310719,0.7519181542646421,0.5156985871271585,1.2533581400540923,0.6542307998209721,1274
trx,128,2.837285069002115,0.4855315585466087,0.598714962655431,1.144422091926639,0.36534963160742634,0.8531274679021335,0.5207423580786026,1.144422091926639,0.641955812399165,1832
sui,128,1.78235592254536,0.8179854570873067,1.1236647822867116,1.2063274935049388,0.8958267550145215,0.6523951905994477,0.5,1.2063274935049388,0.7144785540110217,420
sol,128,0.8597648451623583,1.1653103259973936,1.4908451952697264,1.3162518909776717,1.311943698988781,0.714766269255286,0.5084294587400178,1.3162518909776717,0.8047067654674572,1127
bnb,128,0.5780183745558192,1.0438704491485715,1.2838947290601783,1.3164982208071097,1.0271421797243934,0.6125140554891924,0.5281385281385281,1.3164982208071097,0.6026983737111742,1617
btc,128,0.5240613515306993,1.1535452383997213,1.274521086723917,1.3181923026600035,0.8152851759706161,0.6432719295811572,0.5425278219395866,1.3181923026600035,0.45464196014807823,2516
xrp,129,1.8673588475865461,0.46456804088101994,0.5408323335346099,1.1480053097344205,0.41958829715106233,0.7710818419335156,0.504442925495557,1.1480053097344205,0.6964252564757228,1463
eth,129,0.28736191294758595,0.7534403873350958,0.7385120848666595,1.2052535307791492,0.60595224594887,0.644499478248788,0.5286831812255541,1.2052535307791492,0.5183368358299002,1534
algo,129,-0.799719902517587,0.09711184976653414,0.09549749568245867,1.0269017327918912,0.07651618346195263,0.8992546185493451,0.4895027624309392,1.0269017327918912,0.7085389840410783,905
vet,129,-0.3427640284381973,0.3001807601623559,0.31840453369255245,1.0818778809399507,0.24499500497726362,0.8780678822999903,0.5025083612040134,1.0818778809399507,0.716642349356802,1196
atom,129,-0.6949853483045525,0.14341547253787626,0.1500761783053459,1.0391334438306081,0.10338689403257977,0.939892729680334,0.48940269749518306,1.0391334438306081,0.6775600172414409,1038
pol,129,-0.7123315453644665,-1.1013777459076457,-0.7670671643723654,0.7041164798128134,-0.5939005984201063,0.751315204418743,0.4550898203592814,0.7041164798128134,0.40513488779337653,167
tao,129,1.245558080036428,0.6929290423041767,1.0743725634294123,1.1629185708336585,0.7997814945309245,0.6555178262788026,0.4585858585858586,1.1629185708336585,0.7566013181516834,495
ltc,129,0.3200868167780542,0.7334453571232733,0.8394853660104097,1.2237560790236799,0.6778751518205847,0.7648575422631223,0.5066287878787878,1.2237560790236799,0.7069073620103242,2112
xlm,129,2.522627209998032,0.47617073616384703,0.5910629637368792,1.165553422971179,0.4053302989133216,0.8064872486547447,0.4933884297520661,1.165553422971179,0.6865052653183797,1210
avax,129,0.9454620987161229,0.4981108481734004,0.5761444339928664,1.145265776906876,0.5090499333149995,0.7705501446865424,0.5037220843672456,1.145265776906876,0.7874723090391309,806
link,129,0.37435174662709536,0.7926022725091183,0.9565020886825586,1.2118120614289942,0.6920749301340721,0.8832594701659644,0.5066751430387794,1.2118120614289942,0.7712338928454624,1573
ada,129,0.3946688022609435,0.8185193361290257,0.9876703466460307,1.2553950680624513,0.7632602474658081,0.6997725861703263,0.5168892380204242,1.2553950680624513,0.6525302136612673,1273
trx,129,0.15551694554821904,0.5200580223181112,0.633440347971347,1.1556330564476105,0.3985499422137636,0.8334179061042716,0.5259989053092501,1.1556330564476105,0.6386953840981174,1827
sui,129,1.0445583351859153,0.6774557518552059,0.9346214104557554,1.1673231580311647,0.6636080456818098,0.7277347134523777,0.49047619047619045,1.1673231580311647,0.712859267408157,420
sol,129,0.8569326818197374,1.164905026162421,1.485236061712569,1.3160321842511993,1.261808844434294,0.740267419288903,0.5084294587400178,1.3160321842511993,0.8018473231096274,1127
bnb,129,0.5613010549324942,1.0258514701386117,1.2597572958614782,1.3097748752555423,0.9632904807462819,0.6424101775049568,0.5272614622057001,1.3097748752555423,0.603233145088186,1614
btc,129,0.4425456123752287,1.0378427735858273,1.1388942354118121,1.2811808650217464,0.7048559967324278,0.6636399155359852,0.5392545598731165,1.2811808650217464,0.4507142951146227,2522
xrp,130,1.0192958023188168,0.41867696173117647,0.48745685883664763,1.1323325742342663,0.37113591035923743,0.7850120459384584,0.5006858710562414,1.1323325742342663,0.6958733986882336,1458
eth,130,0.2704475766198089,0.7265873198443601,0.7101174244387927,1.1974375643126753,0.5823027301772165,0.6513003890750052,0.5297191378184193,1.1974375643126753,0.5219661620369285,1531
algo,130,-0.6305323249991324,0.19850112582532842,0.1945536796534945,1.0557381009702609,0.1714206223707662,0.823299799703017,0.4983351831298557,1.0557381009702609,0.7109811769380417,901
vet,130,-0.07842793673147541,0.34787770945378205,0.369596415970116,1.0955489620662937,0.28438583784459165,0.8775729358303657,0.5037593984962406,1.0955489620662937,0.7174053060706771,1197
atom,130,-0.6353623426493229,0.17260847073364227,0.1830658528510887,1.0469814884274888,0.12660916135122804,0.9247333333418276,0.4918970448045758,1.0469814884274888,0.6782964434497766,1049
pol,130,-0.7396088370361953,-1.2052132405361928,-0.8421887287068162,0.6804897016856885,-0.6367464342300116,0.7683800342087183,0.45454545454545453,0.6804897016856885,0.4059557516131047,165
tao,130,0.5823170445192549,0.9682509179717019,1.5417855864775079,1.2389437205224731,1.2873643999184758,0.578786952851462,0.4657258064516129,1.2389437205224731,0.7695419693472907,496
