asset,willr_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
trx,79,1.3765764904866793,0.39498606131030567,0.43120537446669094,1.1375861383724113,0.28907234828047457,0.7852081560814924,0.5148305084745762,1.1375861383724113,0.57465816594763,1416
sui,79,0.9748051966210414,1.3296718591936916,2.309838703495724,1.3596079755429176,1.986734341278317,0.4534405374516461,0.49209932279909707,1.3596079755429176,0.6775099294266211,443
sol,79,0.8552696682868977,1.1876265170646634,1.4575369191775343,1.3509982182197426,1.1465704705242152,0.7856504877320923,0.494,1.3509982182197426,0.7584906841024313,1000
bnb,79,0.5126104519623813,1.0046124405044348,1.2153789712839813,1.3161902632718794,0.8771436603528552,0.6414139923304847,0.5223785166240409,1.3161902632718794,0.5600291160557412,1564
btc,79,0.381946523686016,0.9837220491360665,1.0444753586040785,1.2789442410056033,0.6045416594226716,0.6779152960100799,0.5382276281494353,1.2789442410056033,0.4166095884074859,2302
xrp,80,-0.5501391392556068,0.13228181829089836,0.12861798919762657,1.0438031253118734,0.07899613698677453,0.9125403780477982,0.48055555555555557,1.0438031253118734,0.544951419942697,1080
eth,80,0.24394022243359048,0.6992952849178816,0.7150672855369633,1.1900927722640704,0.5333350384786386,0.6198477455580794,0.5139550714771953,1.1900927722640704,0.47274238559600257,1469
algo,80,2.5765460025054576,0.527350241674862,0.5836567465729057,1.1795604222343021,0.4621370677846522,0.7183122696617902,0.48559670781893005,1.1795604222343021,0.6294843537018939,729
vet,80,0.15888458757358004,0.5443194596937704,0.5857844513154588,1.1665483370507799,0.4122484953299933,0.8537692387918971,0.4994994994994995,1.1665483370507799,0.6466149203061856,999
atom,80,0.29945962276296934,0.34780295105434966,0.3850150994187429,1.1022637454508253,0.27422050810747045,0.7884522676304728,0.47532188841201717,1.1022637454508253,0.6216444707921106,932
pol,80,-0.4471941074268124,-0.3863857480933862,-0.31274176054892266,0.8844667655566818,-0.2632787922998883,0.5853331247834813,0.4476744186046512,0.8844667655566818,0.3988392401804342,172
tao,80,2.044696786609193,0.7949935884140091,1.0897915833999288,1.2151579579324896,0.9266927789158229,0.6138733397813452,0.4643734643734644,1.2151579579324896,0.7155680239877108,407
ltc,80,0.27481739661829896,0.6855191930212013,0.706936255496779,1.241929320086291,0.4848940051474666,0.9003480136503943,0.5021943573667712,1.241929320086291,0.6368506656122224,1595
xlm,80,-0.6001513353949055,0.15313870603387836,0.17898837045785432,1.0565151368360137,0.11241008719741727,0.8623939194356041,0.4766990291262136,1.0565151368360137,0.6330324853393537,1030
avax,80,0.34804958950817366,0.748695115340193,0.8660476393383088,1.2554305341999152,0.7231382135059577,0.7727544272926521,0.5076923076923077,1.2554305341999152,0.7463762546084143,715
link,80,1.8156879690353285,0.4736017848044605,0.525232430030117,1.132467827510271,0.38115290318967243,0.8482782972611795,0.48118081180811806,1.132467827510271,0.6826911259369168,1355
ada,80,0.2770336597749117,0.7133442328438845,0.7630897871912937,1.2292073930651222,0.5598557721674923,0.7001996198915502,0.49859681945743684,1.2292073930651222,0.549539452086045,1069
trx,80,1.1111224754082758,0.3762209706166563,0.4085053178755634,1.1310101430140547,0.272470912224075,0.7915930183502184,0.5170212765957447,1.1310101430140547,0.5732962505161958,1410
sui,80,0.9272041169437262,1.2918356008891794,2.24074686030215,1.3466016579553006,1.8246154309729785,0.4810556015823791,0.49099099099099097,1.3466016579553006,0.6794529220274179,444
sol,80,0.8240177000366078,1.1649945365853949,1.4341275519295003,1.3424626309143806,1.1274250659810423,0.7841070261441095,0.49252243270189433,1.3424626309143806,0.7588206535953331,1003
bnb,80,0.5066640399587701,0.9978150299865648,1.204705094313709,1.3145349499402557,0.8634054400520657,0.6468422809651001,0.5224646983311938,1.3145349499402557,0.5597100940125886,1558
btc,80,0.37451670703872786,0.9705741788238269,1.030337076793293,1.274692320424021,0.5966726034238867,0.6779152960100803,0.5384615384615384,1.274692320424021,0.41675689854163195,2301
