time,total_market_cap,symbols_count,total_index
2015-05-13,4825931367.559639,2,4825931367.559639
2015-05-14,4836662647.827785,2,4836662647.827785
2015-05-15,4850645178.272257,2,4850645178.272257
2015-05-16,4821058680.853886,2,4821058680.853886
2015-05-17,4834616778.107649,2,4834616778.107649
2015-05-18,4760738986.623543,2,4760738986.623543
2015-05-19,4737703911.927133,2,4737703911.927133
2015-05-20,4779472120.027565,2,4779472120.027565
2015-05-21,4807364554.178415,2,4807364554.178415
2015-05-22,4934277214.86328,2,4934277214.86328
2015-05-23,4901329063.766716,2,4901329063.766716
2015-05-24,4946258318.251984,2,4946258318.251984
2015-05-25,4867473281.353253,2,4867473281.353253
2015-05-26,4868663153.1348095,2,4868663153.1348095
2015-05-27,4874114246.784644,2,4874114246.784644
2015-05-28,4876280889.975284,2,4876280889.975284
2015-05-29,4869338226.637091,2,4869338226.637091
2015-05-30,4793124423.844134,2,4793124423.844134
2015-05-31,4716725797.024684,2,4716725797.024684
2015-06-01,4570222343.068128,2,4570222343.068128
2015-06-02,4631736471.793944,2,4631736471.793944
2015-06-03,4634469257.965834,2,4634469257.965834
2015-06-04,4602111881.558155,2,4602111881.558155
2015-06-05,4621693128.644206,2,4621693128.644206
2015-06-06,4634939447.631575,2,4634939447.631575
2015-06-07,4578085811.595897,2,4578085811.595897
2015-06-08,4694224602.277757,2,4694224602.277757
2015-06-09,4706090868.5109215,2,4706090868.5109215
2015-06-10,4698405324.298087,2,4698405324.298087
2015-06-11,4718915680.399521,2,4718915680.399521
2015-06-12,4725208027.507701,2,4725208027.507701
2015-06-13,4778018164.127272,2,4778018164.127272
2015-06-14,4811590069.56878,2,4811590069.56878
2015-06-15,4878191172.640261,2,4878191172.640261
2015-06-16,5224543302.512842,2,5224543302.512842
2015-06-17,5193329642.878497,2,5193329642.878497
2015-06-18,5203598459.899055,2,5203598459.899055
2015-06-19,5093798887.02939,2,5093798887.02939
2015-06-20,5123375651.3663435,2,5123375651.3663435
2015-06-21,5097046789.042224,2,5097046789.042224
2015-06-22,5158270602.467704,2,5158270602.467704
2015-06-23,5100408955.336389,2,5100408955.336389
2015-06-24,5010004351.324243,2,5010004351.324243
2015-06-25,5061047304.919048,2,5061047304.919048
2015-06-26,5077662864.541749,2,5077662864.541749
2015-06-27,5243772080.479894,2,5243772080.479894
2015-06-28,5219801024.973122,2,5219801024.973122
2015-06-29,5413378018.018585,2,5413378018.018585
2015-06-30,5560012148.057752,2,5560012148.057752
2015-07-01,5458799649.41757,2,5458799649.41757
2015-07-02,5405585783.43011,2,5405585783.43011
2015-07-03,5427836795.230807,2,5427836795.230807
2015-07-04,5518456967.866661,2,5518456967.866661
2015-07-05,5802607013.724282,2,5802607013.724282
2015-07-06,5780637312.928133,2,5780637312.928133
2015-07-07,5710359088.737988,2,5710359088.737988
2015-07-08,5887853087.4412985,2,5887853087.4412985
2015-07-09,5946748919.884544,2,5946748919.884544
2015-07-10,6027298238.342816,2,6027298238.342816
2015-07-11,6181225620.457934,2,6181225620.457934
2015-07-12,6605195557.123594,2,6605195557.123594
2015-07-13,6183478072.53321,2,6183478072.53321
