asset,adx_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
ltc,28,0.11810582632891342,0.47035654958137335,0.35454064530467355,1.203683072314442,0.3063903876335382,0.8058376493143163,0.502053388090349,1.203683072314442,0.5249228696036216,974
xlm,28,0.9895403502225402,0.3468360941094674,0.2502615137004769,1.163035036341505,0.2519733548935383,0.5872247862500941,0.5161870503597122,1.163035036341505,0.42661361369551354,556
avax,28,0.3590681309203396,0.7673236975569572,0.7855116940662605,1.3435594646669282,0.7270891065171544,0.6806172393897866,0.5175438596491229,1.3435594646669282,0.6449290984283185,456
link,28,0.8427127329300292,0.37490729057540845,0.2742960653441304,1.1829498579926896,0.2937163024045841,0.7561605191550154,0.48940269749518306,1.1829498579926896,0.5924042484467756,519
ada,28,0.14175521934768476,0.5170742979720704,0.3918999458358084,1.2343297297339693,0.31301919416061647,0.7061618144224708,0.512280701754386,1.2343297297339693,0.42748634570395944,570
trx,28,-0.5574761108291325,0.14219189303511265,0.11910753730259652,1.088278013931127,0.09796431857823716,0.9281133982222916,0.4866666666666667,1.088278013931127,0.6394316488755566,600
sui,28,1.9983400510216591,0.895395871714641,1.0916823422374213,1.3596647714830565,1.0332512907082367,0.43074370759337355,0.4978540772532189,1.3596647714830565,0.4970611389831664,233
sol,28,0.7929877524603688,1.172538110496219,1.0990023938291686,1.502480026128347,1.3429468561837516,0.6120278785294878,0.5111940298507462,1.502480026128347,0.7009758642473031,536
bnb,28,0.44406269496333906,0.8866336223616552,0.8155853940992445,1.427925894488816,0.7543918703356826,0.7054003120838636,0.5315985130111525,1.427925894488816,0.6001895792659871,807
btc,28,0.36335152656105496,1.02422990767066,0.8768232380949104,1.3876555192302311,0.9560043819129148,0.39433578748261067,0.5524904214559387,1.3876555192302311,0.36806847559823,1305
xrp,29,-0.7502980522142781,0.015775256373798174,0.010877288739936486,1.0066879588770172,0.008676125604655483,0.9337555838781665,0.48442367601246106,1.0066879588770172,0.5135498617462303,642
eth,29,0.19668081071111154,0.2886332622665105,0.2192769661908474,1.097085028787957,0.19606500108924396,0.7353518519341689,0.5276907001044933,1.097085028787957,0.4995154076085807,957
algo,29,0.032484777221095884,0.25268692982169366,0.19525577634438585,1.101451553930082,0.17130962870568797,0.7406000940427957,0.49480249480249483,1.101451553930082,0.502091371403321,481
vet,29,0.18405148414010197,0.5826199266064098,0.4479284577039525,1.2564744382735922,0.44085372030551373,0.658581803064408,0.5294117647058824,1.2564744382735922,0.498332145447878,510
