indicator,description,threshold,type,total_tests,total_assets,best_sharpe_ratio,avg_sharpe_ratio,worst_sharpe_ratio,std_sharpe_ratio,best_sortino_ratio,avg_sortino_ratio,worst_sortino_ratio,std_sortino_ratio,best_total_return,avg_total_return,worst_total_return,std_total_return,best_max_drawdown,avg_max_drawdown,worst_max_drawdown,std_max_drawdown,best_win_rate,avg_win_rate,worst_win_rate,std_win_rate,best_omega_ratio,avg_omega_ratio,worst_omega_ratio,std_omega_ratio,best_calmar_ratio,avg_calmar_ratio,worst_calmar_ratio,std_calmar_ratio,best_parameter,best_asset,best_sharpe,best_return,best_plus_di,best_minus_di,best_fast_ema,best_slow_ema,best_fast_period,best_slow_period,best_fast_hma,best_slow_hma
APO,APO > 0 = Long,0.0,matrix,50052,4,6.290368156323763,-1.1335650413360312,-11.995361086580063,2.4311290269752264,5.0,-0.9414229400474008,-5.0,1.9559048109987882,0.16666664140292586,-0.03390920779885049,-0.26666664241347393,0.07040818488551163,0.26666664241347393,0.043783357042638436,0.0,0.08414231353277914,1.0,0.07732054766938487,0.0,0.15318791889080416,18.809390340683276,0.16040297275948165,0.0,0.7737219527457695,373.9971971543559,-3.6080074474119876,-28.299064517898007,7.6593526960067795,"Fast:13, Slow:16",doge,6.290368156323763,0.068301312714381,,,,,13.0,16.0,,
MOM,MOM > 0 = Long,0.0,single_param,584,4,4.58257569495584,-0.9055990781511345,-8.992112147823066,2.128784440650479,5.0,-0.5292485647289017,-5.0,1.5092547139932266,0.045056082578515566,-0.020177990605363613,-0.2571428306623308,0.051119447668431135,0.2571428306623308,0.02354195905718334,0.0,0.0570483223260308,1.0,0.02959030125126015,0.0,0.09846873383023344,10.0,0.076385938721324,0.0,0.5807430676193579,16.720070843071916,-3.259676469132971,-24.556597190620412,7.475021754700031,20,doge,4.58257569495584,0.004548525585696295,,,,,,,,
PPO,PPO > 0 = Long,0.0,matrix,45260,4,0.3038770599076915,-0.05189206396538288,-0.5135714514444684,0.11028216184777043,3.0521459376828375,-0.07802880367188275,-1.87082950362973,0.18429380914149898,0.16666664140292586,-0.03318510540632476,-0.26666664241347393,0.06974696573712037,0.26666664241347393,0.04318308748578874,0.0,0.08339871143122184,0.25,0.04586095153925469,0.0,0.09005474994943108,18.809390340683276,0.13476464276824013,0.0,0.5772035115460514,18.067172836415054,-0.1674975698180495,-1.341975089729232,0.3554567744789847,"Fast:13, Slow:16",doge,0.3038770599076915,0.068301312714381,,,,,13.0,16.0,,
TRIX,TRIX > 0 = Long,0.0,single_param,584,4,3.9549480695627866,-1.6825099538617883,-7.603660040883916,2.7974816690318884,1.3833862346918029,-1.3650398227988265,-5.0,2.1869498288234364,0.04032414160301667,-0.053296150853423645,-0.26666664241347393,0.08593040414626409,0.26666664241347393,0.0644220842358973,0.0,0.10110810710966944,0.5,0.09529535818063214,0.0,0.1537156985284364,8.247679002415804,0.1310274086411356,0.0,0.39603448456020085,12.146654390755636,-5.285773044764842,-21.8798075600012,8.333519474043237,38,doge,3.9549480695627866,0.04032414160301667,,,,,,,,
ADOSC,ADOSC > 0 = Long (Volume-based),0.0,matrix,47080,4,0.21821789023599236,-0.0843752125884053,-0.35767778539598843,0.1352489978351517,0.060137539644511344,-0.10658243110072528,-1.7726386181238627,0.1725781438300795,0.013576248589764806,-0.05371874553170343,-0.326930463771522,0.08568294722748035,0.326930463771522,0.06172992656062686,0.0,0.09736307655311185,0.25,0.06293011894647409,0.0,0.10465816011928211,1.474971907386879,0.08923133541468362,0.0,0.15249353278936784,0.5280303444214783,-0.2552361737551839,-1.2121823247015275,0.3983915269132813,"Fast:2, Slow:28",shib,0.21821789023599236,0.0011373736118205358,,,,,2.0,28.0,,
VIDYA,VIDYA steigend = Long,,single_param,584,4,0.0,-0.387104328654729,-6.7341488498435265,1.3024254724977409,0.0,-0.025684931506849314,-5.0,0.3577486445415976,0.0,-0.006625742525118434,-0.19111106826380386,0.024472944470675512,0.19111106826380386,0.006625742525118434,0.0,0.024472944470675512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7287553449831286,-21.976743783192944,5.782020334837264,7,pepe,0.0,0.0,,,,,,,,
TRENDCONT,Uptrend = Long (Dual HMA),,matrix,45260,4,4.58257569495584,-1.2753044150999664,-8.992112147823066,2.3499421150982154,5.0,-0.5497392498763995,-5.0,1.6040290932206338,0.10000003637978905,-0.039133406166067086,-0.26530609062992294,0.07489153612419214,0.26530609062992294,0.04854373693075416,0.0,0.07722930220670693,1.0,0.07558708414872799,0.0,0.17793185410386095,12.216175244195936,0.22365531395820673,0.0,1.0834704722208328,235.53968012811094,-5.151627788223468,-22.615384389356354,10.243711946057697,"Fast HMA:5, Slow HMA:58",shib,4.58257569495584,0.10000003637978905,,,,,,,5.0,58.0
HULLSUITE,MHULL > SHULL = Long,,single_param,584,4,0.2951897520716116,-0.9547565351360214,-6.797058187186572,1.8943420690237458,0.0,-0.5190016693225942,-5.0,1.410926161042661,0.0,-0.030508225771973714,-0.26530609062992294,0.061941252820773764,0.26530609062992294,0.03765677450227925,0.0,0.0671234784355969,0.5,0.06473825831702544,0.0,0.14789167735487357,1.1000000363797895,0.10410950119260981,0.0,0.2526448902934367,2.10000076397558,-4.118330725437322,-22.615384389356354,7.818941059746141,10,shib,0.2951897520716116,0.0,,,,,,,,
FSVZO,VZO > Signal = Long (Volume),0.0,single_param,584,4,0.0,-0.9333976004006442,-7.603660040883916,1.802569234003343,0.0,-1.1317532091791174,-5.0,2.0589287676720796,0.0,-0.02186363032783828,-0.0989763091176119,0.03835622118597956,0.18181815926872663,0.03742606769426136,0.0,0.06885366696543371,0.5,0.09349315068493151,0.0,0.1913223549948082,0.7174219547816,0.10952691534481644,0.0,0.2200166447465507,0.0,-3.6770704420801468,-21.409373794253195,6.5011930920445575,5,bonk,0.0,0.0,,,,,,,,
BBPCT,Position > 50 = Long (BB %),50.0,single_param,584,4,0.0,-0.5978234337314555,-8.754404269507768,1.7315512326143714,0.0,-0.19714134933703234,-5.0,0.9179185172098523,0.0,-0.013826452668085144,-0.3066666149265218,0.043474965891735204,0.3066666149265218,0.013608407882855875,0.0,0.04319774184814682,0.3333333333333333,0.0048515981735159815,0.0,0.03520011198636651,0.7857721130759113,0.013630122707006698,0.0,0.09849541144922248,0.0,-2.3871287584513867,-42.0,7.409208117148704,20,pepe,0.0,0.0,,,,,,,,
